Isotope,Energy (keV),Intensity (%),Half life (s),Decay,Decay (%),Daughter
7Be,477.6035,10.44,4598208.0,EC,100.0,Li
11C,511.0,199.5338,1221.84,EC+B+,100.0,B
13N,511.0,199.6072,597.9,EC+B+,100.0,C
15O,511.0,199.8006,122.24,EC+B+,100.0,N
18F,511.0,193.46,6586.2,EC+B+,100.0,O
22Na,1274.537,99.94,82104810.00069347,EC+B+,100.0,Ne
22Na,511.0,179.91,82104810.00069347,EC+B+,100.0,Ne
22Na,0.848,0.0471212186331238,82104810.00069347,EC+B+,100.0,Ne
22Na,0.848,0.0937176186020761,82104810.00069347,EC+B+,100.0,Ne
24Na,996.6,0.0021,53989.2,B-,100.0,Mg
24Na,1368.626,99.9936,53989.2,B-,100.0,Mg
24Na,2754.007,99.855,53989.2,B-,100.0,Mg
24Na,2871.0,0.00025,53989.2,B-,100.0,Mg
24Na,3866.22,0.074,53989.2,B-,100.0,Mg
24Na,4238.9,0.00084,53989.2,B-,100.0,Mg
26Al,1129.67,2.5,22626315923782.465,EC+B+,100.0,Mg
26Al,1808.65,99.76,22626315923782.465,EC+B+,100.0,Mg
26Al,2938.0,0.24,22626315923782.465,EC+B+,100.0,Mg
26Al,511.0,163.46,22626315923782.465,EC+B+,100.0,Mg
26Al,511.0,199.8352,6.346,EC+B+,100.0,Mg
26Al,0.046,0.0101434705884126,22626315923782.465,EC+B+,100.0,Mg
26Al,0.046,4.580586e-05,6.346,EC+B+,100.0,Mg
26Al,1.254,0.0014353423769833,6.346,EC+B+,100.0,Mg
26Al,1.254,0.3177907835870764,22626315923782.465,EC+B+,100.0,Mg
26Al,1.254,0.0007221207498603,6.346,EC+B+,100.0,Mg
26Al,1.254,0.1598805432226581,22626315923782.465,EC+B+,100.0,Mg
38Cl,671.36,99.95,0.715,IT,100.0,Cl
38Cl,1209.4,0.02,2233.8,B-,100.0,Ar
38Cl,1642.68,32.9,2233.8,B-,100.0,Ar
38Cl,2167.4,44.0,2233.8,B-,100.0,Ar
38Cl,2398.1,0.02,2233.8,B-,100.0,Ar
38Cl,3810.01,0.0259,2233.8,B-,100.0,Ar
38Cl,3936.1,0.007,2233.8,B-,100.0,Ar
40K,1460.82,10.66,3.938304361629082e+16,EC+B+,10.72,Ar
40K,511.0,0.002,3.938304361629082e+16,EC+B+,10.72,Ar
40K,0.265,0.023630242674696,3.938304361629082e+16,EC+B+,10.72,Ar
40K,2.956,0.2956319824960423,3.938304361629082e+16,EC+B+,10.72,Ar
40K,2.958,0.5855258120341499,3.938304361629082e+16,EC+B+,10.72,Ar
40K,3.19,0.0950769260298077,3.938304361629082e+16,EC+B+,10.72,Ar
40K,3.19,0.0950769260298077,3.938304361629082e+16,EC+B+,10.72,Ar
42K,312.6,0.336288,44478.0,B-,100.0,Ca
42K,692.0,0.0032544,44478.0,B-,100.0,Ca
42K,899.7,0.051528,44478.0,B-,100.0,Ca
42K,1021.2,0.0200688,44478.0,B-,100.0,Ca
42K,1228.0,0.0023504,44478.0,B-,100.0,Ca
42K,1524.6,18.08,44478.0,B-,100.0,Ca
42K,1920.8,0.0412224,44478.0,B-,100.0,Ca
42K,2424.3,0.019888,44478.0,B-,100.0,Ca
43K,220.632,4.80004,80280.0,B-,100.0,Ca
43K,372.76,86.8,80280.0,B-,100.0,Ca
43K,396.861,11.8482,80280.0,B-,100.0,Ca
43K,404.214,0.36456,80280.0,B-,100.0,Ca
43K,593.39,11.25796,80280.0,B-,100.0,Ca
43K,617.49,79.1616,80280.0,B-,100.0,Ca
43K,801.07,0.14756,80280.0,B-,100.0,Ca
43K,990.245,0.28644,80280.0,B-,100.0,Ca
43K,1021.698,1.96168,80280.0,B-,100.0,Ca
43K,1394.448,0.131068,80280.0,B-,100.0,Ca
44Sc,271.241,86.75,210996.0,IT,98.8,Sc
44Sc,1001.83,1.2,210996.0,EC+B+,1.2,Ca
44Sc,1126.06,1.2,210996.0,EC+B+,1.2,Ca
44Sc,1157.002,1.2,210996.0,EC+B+,1.2,Ca
44Sc,1157.02,99.9,14292.0,EC+B+,100.0,Ca
44Sc,1499.46,0.908091,14292.0,EC+B+,100.0,Ca
44Sc,2144.3,0.002997,14292.0,EC+B+,100.0,Ca
44Sc,2150.84,0.0010989,14292.0,EC+B+,100.0,Ca
44Sc,2656.48,0.111888,14292.0,EC+B+,100.0,Ca
44Sc,3301.35,0.0013986,14292.0,EC+B+,100.0,Ca
44Sc,511.0,188.54,14292.0,EC+B+,100.0,Ca
44Sc,0.358,0.00408486234,210996.0,EC+B+,1.2,Ca
44Sc,0.358,0.018946007096801,14292.0,EC+B+,100.0,Ca
44Sc,0.422,0.0491867524512,210996.0,IT,98.8,Sc
44Sc,3.688,0.0539944138642607,210996.0,EC+B+,1.2,Ca
44Sc,3.688,0.2504238706653489,14292.0,EC+B+,100.0,Ca
44Sc,3.692,0.4948110465626336,14292.0,EC+B+,100.0,Ca
44Sc,3.692,0.1066872433595352,210996.0,EC+B+,1.2,Ca
44Sc,4.013,0.0208243427762039,210996.0,EC+B+,1.2,Ca
44Sc,4.013,0.0965824452727465,14292.0,EC+B+,100.0,Ca
44Sc,4.013,0.0208243427762039,210996.0,EC+B+,1.2,Ca
44Sc,4.013,0.0965824452727465,14292.0,EC+B+,100.0,Ca
44Sc,4.086,0.6313198460530334,210996.0,IT,98.8,Sc
44Sc,4.091,1.245452448319261,210996.0,IT,98.8,Sc
44Sc,4.474,0.2475462656277056,210996.0,IT,98.8,Sc
44Sc,4.474,0.2475462656277056,210996.0,IT,98.8,Sc
47Ca,41.06,0.005561,391910.4,B-,100.0,Sc
47Ca,489.23,5.896,391910.4,B-,100.0,Sc
47Ca,530.6,0.08576,391910.4,B-,100.0,Sc
47Ca,731.6,0.01139,391910.4,B-,100.0,Sc
47Ca,767.1,0.18023,391910.4,B-,100.0,Sc
47Ca,807.86,5.896,391910.4,B-,100.0,Sc
47Ca,1146.97,0.01139,391910.4,B-,100.0,Sc
47Ca,1297.09,67.0,391910.4,B-,100.0,Sc
47Ca,1878.0,0.02546,391910.4,B-,100.0,Sc
47Ca,0.422,3.59919898192e-05,391910.4,B-,100.0,Sc
47Ca,4.086,0.0004650840889728,391910.4,B-,100.0,Sc
47Ca,4.091,0.0009175065870444,391910.4,B-,100.0,Sc
47Ca,4.474,0.0001823637101666,391910.4,B-,100.0,Sc
47Ca,4.474,0.0001823637101666,391910.4,B-,100.0,Sc
47Sc,159.381,68.3,289370.88,B-,100.0,Ti
47Sc,0.477,0.00148295088228,289370.88,B-,100.0,Ti
47Sc,4.505,0.0186316986106596,289370.88,B-,100.0,Ti
47Sc,4.511,0.0367054740162719,289370.88,B-,100.0,Ti
47Sc,4.947,0.0073321753730684,289370.88,B-,100.0,Ti
47Sc,4.947,0.0073321753730684,289370.88,B-,100.0,Ti
48Sc,175.361,7.47,157356.0,B-,100.0,Ti
48Sc,983.526,100.0,157356.0,B-,100.0,Ti
48Sc,1037.522,97.5,157356.0,B-,100.0,Ti
48Sc,1212.88,2.38,157356.0,B-,100.0,Ti
48Sc,1312.12,100.0,157356.0,B-,100.0,Ti
48Sc,0.477,0.000306879713328,157356.0,B-,100.0,Ti
48Sc,4.505,0.0038780819926939,157356.0,B-,100.0,Ti
48Sc,4.511,0.0076400354465996,157356.0,B-,100.0,Ti
48Sc,4.947,0.0015261505607064,157356.0,B-,100.0,Ti
48Sc,4.947,0.0015261505607064,157356.0,B-,100.0,Ti
48V,803.05,0.1359728,1380153.6,EC+B+,100.0,Ti
48V,928.326,0.7828434,1380153.6,EC+B+,100.0,Ti
48V,938.0,0.000139972,1380153.6,EC+B+,100.0,Ti
48V,944.129,7.8704256,1380153.6,EC+B+,100.0,Ti
48V,983.525,99.98,1380153.6,EC+B+,100.0,Ti
48V,1063.9,0.004999,1380153.6,EC+B+,100.0,Ti
48V,1312.105,98.18036,1380153.6,EC+B+,100.0,Ti
48V,1437.521,0.119976,1380153.6,EC+B+,100.0,Ti
48V,2240.396,2.3325334,1380153.6,EC+B+,100.0,Ti
48V,2375.2,0.00869826,1380153.6,EC+B+,100.0,Ti
48V,2420.94,0.00669866,1380153.6,EC+B+,100.0,Ti
48V,511.0,100.802,1380153.6,EC+B+,100.0,Ti
48V,0.477,0.24,1380153.6,EC+B+,100.0,Ti
48V,4.505,3.02,1380153.6,EC+B+,100.0,Ti
48V,4.511,5.95,1380153.6,EC+B+,100.0,Ti
48V,4.947,1.19,1380153.6,EC+B+,100.0,Ti
48V,4.947,1.19,1380153.6,EC+B+,100.0,Ti
51Cr,320.0824,9.91,2393625.6,EC,100.0,V
51Cr,0.536,0.558363156235386,2393625.6,EC,100.0,V
51Cr,4.945,6.789548877694662,2393625.6,EC,100.0,V
51Cr,4.952,13.357365488283811,2393625.6,EC,100.0,V
51Cr,5.444,2.6875983764215285,2393625.6,EC,100.0,V
51Cr,5.444,2.6875983764215285,2393625.6,EC,100.0,V
52Mn,200.58,0.076,483062.4,EC+B+,100.0,Cr
52Mn,346.02,0.98,483062.4,EC+B+,100.0,Cr
52Mn,377.738,1.68,1266.0,IT,1.78,Mn
52Mn,398.09,0.089,483062.4,EC+B+,100.0,Cr
52Mn,399.57,0.183,483062.4,EC+B+,100.0,Cr
52Mn,502.06,0.21,483062.4,EC+B+,100.0,Cr
52Mn,600.16,0.39,483062.4,EC+B+,100.0,Cr
52Mn,647.47,0.4,483062.4,EC+B+,100.0,Cr
52Mn,704.6,0.028,1266.0,EC+B+,98.22,Cr
52Mn,744.233,90.0,483062.4,EC+B+,100.0,Cr
52Mn,848.18,3.32,483062.4,EC+B+,100.0,Cr
52Mn,901.89,0.044,483062.4,EC+B+,100.0,Cr
52Mn,935.52,0.02,1266.0,EC+B+,98.22,Cr
52Mn,935.544,94.5,483062.4,EC+B+,100.0,Cr
52Mn,1045.75,0.07,483062.4,EC+B+,100.0,Cr
52Mn,1246.278,4.21,483062.4,EC+B+,100.0,Cr
52Mn,1247.88,0.38,483062.4,EC+B+,100.0,Cr
52Mn,1332.62,0.029,1266.0,EC+B+,98.22,Cr
52Mn,1333.649,5.07,483062.4,EC+B+,100.0,Cr
52Mn,1434.06,98.2,1266.0,EC+B+,98.22,Cr
52Mn,1434.092,100.0,483062.4,EC+B+,100.0,Cr
52Mn,1441.0,0.003,483062.4,EC+B+,100.0,Cr
52Mn,1530.67,0.0462,1266.0,EC+B+,98.22,Cr
52Mn,1645.82,0.047,483062.4,EC+B+,100.0,Cr
52Mn,1727.53,0.216,1266.0,EC+B+,98.22,Cr
52Mn,1839.14,0.005,483062.4,EC+B+,100.0,Cr
52Mn,1981.12,0.034,483062.4,EC+B+,100.0,Cr
52Mn,2038.0,0.0079,1266.0,EC+B+,98.22,Cr
52Mn,2257.42,0.0027,483062.4,EC+B+,100.0,Cr
52Mn,2337.4,0.0069,1266.0,EC+B+,98.22,Cr
52Mn,2847.7,0.0006,1266.0,EC+B+,98.22,Cr
52Mn,2965.0,0.0004,1266.0,EC+B+,98.22,Cr
52Mn,3129.0,0.00014733,1266.0,EC+B+,98.22,Cr
52Mn,3161.8,0.022,1266.0,EC+B+,98.22,Cr
52Mn,3381.5,0.0025,1266.0,EC+B+,98.22,Cr
52Mn,3771.7,0.0018,1266.0,EC+B+,98.22,Cr
52Mn,3951.0,0.0007,1266.0,EC+B+,98.22,Cr
52Mn,4815.4,0.0025,1266.0,EC+B+,98.22,Cr
52Mn,511.0,58.80236,483062.4,EC+B+,100.0,Cr
52Mn,511.0,193.2233016,1266.0,EC+B+,98.22,Cr
52Mn,0.597,0.0108,1266.0,EC+B+,98.22,Cr
52Mn,0.597,0.45299465669016,483062.4,EC+B+,100.0,Cr
52Mn,0.66,0.0004456249728,1266.0,IT,1.78,Mn
52Mn,5.406,5.3642766407669695,483062.4,EC+B+,100.0,Cr
52Mn,5.406,0.127,1266.0,EC+B+,98.22,Cr
52Mn,5.415,10.53678381608126,483062.4,EC+B+,100.0,Cr
52Mn,5.415,0.25,1266.0,EC+B+,98.22,Cr
52Mn,5.888,0.0057076987006804,1266.0,IT,1.78,Mn
52Mn,5.899,0.0111937609348508,1266.0,IT,1.78,Mn
52Mn,5.966,0.0509,1266.0,EC+B+,98.22,Cr
52Mn,5.966,2.140282737491772,483062.4,EC+B+,100.0,Cr
52Mn,5.966,2.140282737491772,483062.4,EC+B+,100.0,Cr
52Mn,5.966,0.0509,1266.0,EC+B+,98.22,Cr
52Mn,6.512,0.0022969083644687,1266.0,IT,1.78,Mn
52Mn,6.512,0.0022969083644687,1266.0,IT,1.78,Mn
54Mn,834.848,99.976,26974080.0,EC+B+,100.0,Cr
54Mn,511.0,1.14e-06,26974080.0,EC+B+,100.0,Cr
54Mn,0.597,0.646138669918464,26974080.0,EC+B+,100.0,Cr
54Mn,5.406,7.645315653102746,26974080.0,EC+B+,100.0,Cr
54Mn,5.415,15.017316152234818,26974080.0,EC+B+,100.0,Cr
54Mn,5.966,3.050390240998436,26974080.0,EC+B+,100.0,Cr
54Mn,5.966,3.050390240998436,26974080.0,EC+B+,100.0,Cr
55Fe,126.0,1.28e-07,86592204.87428045,EC,100.0,Mn
55Fe,0.66,0.6605521,86592204.87428045,EC,100.0,Mn
55Fe,5.888,8.445882407206723,86592204.87428045,EC,100.0,Mn
55Fe,5.899,16.563801543845308,86592204.87428045,EC,100.0,Mn
55Fe,6.512,3.398816048947971,86592204.87428045,EC,100.0,Mn
55Fe,6.512,3.398816048947971,86592204.87428045,EC,100.0,Mn
56Co,263.434,0.021986778,6673190.4,EC+B+,100.0,Fe
56Co,411.145,0.023985576,6673190.4,EC+B+,100.0,Fe
56Co,486.55,0.053967546,6673190.4,EC+B+,100.0,Fe
56Co,655.003,0.042974157,6673190.4,EC+B+,100.0,Fe
56Co,674.57,0.023985576,6673190.4,EC+B+,100.0,Fe
56Co,733.514,0.190885209,6673190.4,EC+B+,100.0,Fe
56Co,787.743,0.310813089,6673190.4,EC+B+,100.0,Fe
56Co,846.77,99.9399,6673190.4,EC+B+,100.0,Fe
56Co,852.732,0.048970551,6673190.4,EC+B+,100.0,Fe
56Co,896.51,0.072956127,6673190.4,EC+B+,100.0,Fe
56Co,977.372,1.421145378,6673190.4,EC+B+,100.0,Fe
56Co,996.948,0.110933289,6673190.4,EC+B+,100.0,Fe
56Co,1037.843,14.05154994,6673190.4,EC+B+,100.0,Fe
56Co,1088.894,0.054966945,6673190.4,EC+B+,100.0,Fe
56Co,1140.368,0.131920668,6673190.4,EC+B+,100.0,Fe
56Co,1159.944,0.093943506,6673190.4,EC+B+,100.0,Fe
56Co,1175.101,2.251645947,6673190.4,EC+B+,100.0,Fe
56Co,1198.888,0.048970551,6673190.4,EC+B+,100.0,Fe
56Co,1238.288,66.4600335,6673190.4,EC+B+,100.0,Fe
56Co,1271.92,0.01998798,6673190.4,EC+B+,100.0,Fe
56Co,1335.4,0.1224263775,6673190.4,EC+B+,100.0,Fe
56Co,1360.212,4.283424114,6673190.4,EC+B+,100.0,Fe
56Co,1442.746,0.17989182,6673190.4,EC+B+,100.0,Fe
56Co,1462.322,0.073955526,6673190.4,EC+B+,100.0,Fe
56Co,1640.475,0.0615629784,6673190.4,EC+B+,100.0,Fe
56Co,1771.357,15.41073258,6673190.4,EC+B+,100.0,Fe
56Co,1810.757,0.63961536,6673190.4,EC+B+,100.0,Fe
56Co,1963.741,0.706575093,6673190.4,EC+B+,100.0,Fe
56Co,2015.215,3.016186182,6673190.4,EC+B+,100.0,Fe
56Co,2034.791,7.769327826,6673190.4,EC+B+,100.0,Fe
56Co,2113.135,0.376773423,6673190.4,EC+B+,100.0,Fe
56Co,2212.944,0.387766812,6673190.4,EC+B+,100.0,Fe
56Co,2276.131,0.117929082,6673190.4,EC+B+,100.0,Fe
56Co,2373.24,0.07995192,6673190.4,EC+B+,100.0,Fe
56Co,2523.09,0.058964541,6673190.4,EC+B+,100.0,Fe
56Co,2598.5,16.96979502,6673190.4,EC+B+,100.0,Fe
56Co,2657.527,0.018988581,6673190.4,EC+B+,100.0,Fe
56Co,3009.645,1.036376763,6673190.4,EC+B+,100.0,Fe
56Co,3202.029,3.209070189,6673190.4,EC+B+,100.0,Fe
56Co,3253.503,7.923235272,6673190.4,EC+B+,100.0,Fe
56Co,3273.079,1.875871923,6673190.4,EC+B+,100.0,Fe
56Co,3369.86,0.0100939299,6673190.4,EC+B+,100.0,Fe
56Co,3451.232,0.94942905,6673190.4,EC+B+,100.0,Fe
56Co,3548.05,0.1954824444,6673190.4,EC+B+,100.0,Fe
56Co,3600.8,0.0166899633,6673190.4,EC+B+,100.0,Fe
56Co,3611.53,0.0085948314,6673190.4,EC+B+,100.0,Fe
56Co,511.0,39.41192,6673190.4,EC+B+,100.0,Fe
56Co,0.728,0.6702746184589347,6673190.4,EC+B+,100.0,Fe
56Co,6.391,7.585222917729533,6673190.4,EC+B+,100.0,Fe
56Co,6.404,14.85260019136388,6673190.4,EC+B+,100.0,Fe
56Co,7.082,3.0694942013239785,6673190.4,EC+B+,100.0,Fe
56Co,7.082,3.0694942013239785,6673190.4,EC+B+,100.0,Fe
56Mn,846.7638,98.85,9284.04,B-,100.0,Fe
56Mn,1037.8333,0.03954,9284.04,B-,100.0,Fe
56Mn,1238.2736,0.03954,9284.04,B-,100.0,Fe
56Mn,1810.726,26.8872,9284.04,B-,100.0,Fe
56Mn,2113.092,14.2344,9284.04,B-,100.0,Fe
56Mn,2523.06,1.018155,9284.04,B-,100.0,Fe
56Mn,2598.438,0.01977,9284.04,B-,100.0,Fe
56Mn,2657.56,0.6454905,9284.04,B-,100.0,Fe
56Mn,2959.92,0.306435,9284.04,B-,100.0,Fe
56Mn,3369.81,0.168045,9284.04,B-,100.0,Fe
57Co,14.4129,9.16,23478336.0,EC,100.0,Fe
57Co,122.06065,85.6,23478336.0,EC,100.0,Fe
57Co,136.47356,10.68,23478336.0,EC,100.0,Fe
57Co,230.4,0.0004,23478336.0,EC,100.0,Fe
57Co,339.69,0.0037,23478336.0,EC,100.0,Fe
57Co,352.33,0.003,23478336.0,EC,100.0,Fe
57Co,366.8,0.0012,23478336.0,EC,100.0,Fe
57Co,570.09,0.0158,23478336.0,EC,100.0,Fe
57Co,692.41,0.149,23478336.0,EC,100.0,Fe
57Co,706.54,0.005,23478336.0,EC,100.0,Fe
57Co,0.728,1.4849013121188,23478336.0,EC,100.0,Fe
57Co,6.391,16.807067998852435,23478336.0,EC,100.0,Fe
57Co,6.404,32.90986488907859,23478336.0,EC,100.0,Fe
57Co,7.082,6.801276419068965,23478336.0,EC,100.0,Fe
57Co,7.082,6.801276419068965,23478336.0,EC,100.0,Fe
57Ni,127.164,16.6668,128160.0,EC+B+,100.0,Co
57Ni,161.86,0.0227126,128160.0,EC+B+,100.0,Co
57Ni,304.1,0.0019608,128160.0,EC+B+,100.0,Co
57Ni,379.94,0.066994,128160.0,EC+B+,100.0,Co
57Ni,541.9,0.0036765,128160.0,EC+B+,100.0,Co
57Ni,673.44,0.0491017,128160.0,EC+B+,100.0,Co
57Ni,696.0,0.0008987,128160.0,EC+B+,100.0,Co
57Ni,755.3,0.0053922,128160.0,EC+B+,100.0,Co
57Ni,906.98,0.061275,128160.0,EC+B+,100.0,Co
57Ni,1046.68,0.133988,128160.0,EC+B+,100.0,Co
57Ni,1224.0,0.062909,128160.0,EC+B+,100.0,Co
57Ni,1279.99,0.0096406,128160.0,EC+B+,100.0,Co
57Ni,1350.52,0.0019608,128160.0,EC+B+,100.0,Co
57Ni,1377.63,81.7,128160.0,EC+B+,100.0,Co
57Ni,1603.28,0.0039216,128160.0,EC+B+,100.0,Co
57Ni,1730.44,0.052288,128160.0,EC+B+,100.0,Co
57Ni,1757.55,5.75168,128160.0,EC+B+,100.0,Co
57Ni,1897.42,0.027778,128160.0,EC+B+,100.0,Co
57Ni,1919.52,12.255,128160.0,EC+B+,100.0,Co
57Ni,2133.04,0.028595,128160.0,EC+B+,100.0,Co
57Ni,2730.91,0.0198531,128160.0,EC+B+,100.0,Co
57Ni,2804.2,0.09804,128160.0,EC+B+,100.0,Co
57Ni,3177.28,0.0111112,128160.0,EC+B+,100.0,Co
57Ni,511.0,87.168,128160.0,EC+B+,100.0,Co
57Ni,0.8,0.553520916468586,128160.0,EC+B+,100.0,Co
57Ni,6.915,5.818838522012595,128160.0,EC+B+,100.0,Co
57Ni,6.93,11.373804773284979,128160.0,EC+B+,100.0,Co
57Ni,7.677,2.3588306601148274,128160.0,EC+B+,100.0,Co
57Ni,7.677,2.3588306601148274,128160.0,EC+B+,100.0,Co
58Co,24.889,0.0397,32760.0,IT,100.0,Co
58Co,810.7593,99.45,6122304.0,EC+B+,100.0,Fe
58Co,863.951,0.686205,6122304.0,EC+B+,100.0,Fe
58Co,1674.725,0.51714,6122304.0,EC+B+,100.0,Fe
58Co,511.0,29.80126,6122304.0,EC+B+,100.0,Fe
58Co,0.728,0.7052575106717301,6122304.0,EC+B+,100.0,Fe
58Co,0.8,0.9150081408,32760.0,IT,100.0,Co
58Co,6.391,7.98709324354077,6122304.0,EC+B+,100.0,Fe
58Co,6.404,15.63950116221024,6122304.0,EC+B+,100.0,Fe
58Co,6.915,8.435228603338311,32760.0,IT,100.0,Co
58Co,6.93,16.48793706672852,32760.0,IT,100.0,Co
58Co,7.082,3.232118114706738,6122304.0,EC+B+,100.0,Fe
58Co,7.082,3.232118114706738,6122304.0,EC+B+,100.0,Fe
58Co,7.677,3.4194583299331693,32760.0,IT,100.0,Co
58Co,7.677,3.4194583299331693,32760.0,IT,100.0,Co
59Fe,142.651,1.02,3843936.0,B-,100.0,Co
59Fe,189.0,0.0011,3843936.0,B-,100.0,Co
59Fe,192.343,3.08,3843936.0,B-,100.0,Co
59Fe,334.8,0.27,3843936.0,B-,100.0,Co
59Fe,382.0,0.018,3843936.0,B-,100.0,Co
59Fe,1099.245,56.5,3843936.0,B-,100.0,Co
59Fe,1291.59,43.2,3843936.0,B-,100.0,Co
59Fe,1481.7,0.059,3843936.0,B-,100.0,Co
59Fe,0.8,0.000598269857976,3843936.0,B-,100.0,Co
59Fe,6.915,0.0063252476476253,3843936.0,B-,100.0,Co
59Fe,6.93,0.0123636584199089,3843936.0,B-,100.0,Co
59Fe,7.677,0.0025641179124657,3843936.0,B-,100.0,Co
59Fe,7.677,0.0025641179124657,3843936.0,B-,100.0,Co
60Co,58.603,2.07,628.02,IT,99.75,Co
60Co,347.14,0.0075,166344192.0,B-,100.0,Ni
60Co,826.1,0.0076,166344192.0,B-,100.0,Ni
60Co,826.1,0.0078,628.02,B-,0.25,Ni
60Co,1173.228,99.85,166344192.0,B-,100.0,Ni
60Co,1332.492,99.9826,166344192.0,B-,100.0,Ni
60Co,1332.492,0.25,628.02,B-,0.25,Ni
60Co,2158.57,0.00075,628.02,B-,0.25,Ni
60Co,2158.57,0.0012,166344192.0,B-,100.0,Ni
60Co,2505.692,2e-06,166344192.0,B-,100.0,Ni
60Co,0.8,0.9340234092,628.02,IT,99.75,Co
60Co,0.874,0.0003292582747165,166344192.0,B-,100.0,Ni
60Co,6.915,9.410733783957236,628.02,IT,99.75,Co
60Co,6.93,18.39471028920492,628.02,IT,99.75,Co
60Co,7.461,0.0033076588035486,166344192.0,B-,100.0,Ni
60Co,7.478,0.006455227953842,166344192.0,B-,100.0,Ni
60Co,7.677,3.814906926837848,628.02,IT,99.75,Co
60Co,7.677,3.814906926837848,628.02,IT,99.75,Co
60Co,8.296,0.0013453257951684,166344192.0,B-,100.0,Ni
60Co,8.296,0.0013453257951684,166344192.0,B-,100.0,Ni
61Cu,67.412,4.0,12020.4,EC+B+,100.0,Ni
61Cu,117.5,0.01,12020.4,EC+B+,100.0,Ni
61Cu,190.79,0.0049,12020.4,EC+B+,100.0,Ni
61Cu,215.55,0.013,12020.4,EC+B+,100.0,Ni
61Cu,276.688,0.026,12020.4,EC+B+,100.0,Ni
61Cu,282.956,12.7,12020.4,EC+B+,100.0,Ni
61Cu,373.05,2.14,12020.4,EC+B+,100.0,Ni
61Cu,443.5,0.0037,12020.4,EC+B+,100.0,Ni
61Cu,529.169,0.37,12020.4,EC+B+,100.0,Ni
61Cu,544.8,0.006,12020.4,EC+B+,100.0,Ni
61Cu,588.605,1.17,12020.4,EC+B+,100.0,Ni
61Cu,625.605,0.044,12020.4,EC+B+,100.0,Ni
61Cu,629.9,0.062,12020.4,EC+B+,100.0,Ni
61Cu,656.008,10.4,12020.4,EC+B+,100.0,Ni
61Cu,701.1,0.0111,12020.4,EC+B+,100.0,Ni
61Cu,816.692,0.35,12020.4,EC+B+,100.0,Ni
61Cu,820.89,0.022,12020.4,EC+B+,100.0,Ni
61Cu,841.211,0.24,12020.4,EC+B+,100.0,Ni
61Cu,902.294,0.087,12020.4,EC+B+,100.0,Ni
61Cu,908.631,1.09,12020.4,EC+B+,100.0,Ni
61Cu,947.4,0.0028,12020.4,EC+B+,100.0,Ni
61Cu,1014.8,0.0009,12020.4,EC+B+,100.0,Ni
61Cu,1032.162,0.055,12020.4,EC+B+,100.0,Ni
61Cu,1064.896,0.05,12020.4,EC+B+,100.0,Ni
61Cu,1073.465,0.042,12020.4,EC+B+,100.0,Ni
61Cu,1089.11,0.0006,12020.4,EC+B+,100.0,Ni
61Cu,1099.56,0.27,12020.4,EC+B+,100.0,Ni
61Cu,1117.822,0.044,12020.4,EC+B+,100.0,Ni
61Cu,1132.351,0.091,12020.4,EC+B+,100.0,Ni
61Cu,1185.234,3.6,12020.4,EC+B+,100.0,Ni
61Cu,1446.492,0.046,12020.4,EC+B+,100.0,Ni
61Cu,1542.204,0.033,12020.4,EC+B+,100.0,Ni
61Cu,1609.625,0.024,12020.4,EC+B+,100.0,Ni
61Cu,1662.0,0.051,12020.4,EC+B+,100.0,Ni
61Cu,1729.473,0.05,12020.4,EC+B+,100.0,Ni
61Cu,1840.7,0.0017,12020.4,EC+B+,100.0,Ni
61Cu,1997.73,0.0038,12020.4,EC+B+,100.0,Ni
61Cu,2120.0,0.0095,12020.4,EC+B+,100.0,Ni
61Cu,2123.432,0.041,12020.4,EC+B+,100.0,Ni
61Cu,511.0,122.866,12020.4,EC+B+,100.0,Ni
61Cu,0.874,0.44,12020.4,EC+B+,100.0,Ni
61Cu,7.461,4.4,12020.4,EC+B+,100.0,Ni
61Cu,7.478,8.5,12020.4,EC+B+,100.0,Ni
61Cu,8.296,1.77,12020.4,EC+B+,100.0,Ni
61Cu,8.296,1.77,12020.4,EC+B+,100.0,Ni
64Cu,1345.77,0.472,45722.16,EC+B+,61.5,Ni
64Cu,511.0,34.98,45722.16,EC+B+,61.5,Ni
64Cu,0.874,0.4911207987322291,45722.16,EC+B+,61.5,Ni
64Cu,7.461,4.896772422139985,45722.16,EC+B+,61.5,Ni
64Cu,7.478,9.556542588095208,45722.16,EC+B+,61.5,Ni
64Cu,8.296,1.9916668084104092,45722.16,EC+B+,61.5,Ni
64Cu,8.296,1.9916668084104092,45722.16,EC+B+,61.5,Ni
65Ni,366.27,4.805283,9063.0,B-,100.0,Cu
65Ni,507.9,0.292516,9063.0,B-,100.0,Cu
65Ni,609.5,0.1545145,9063.0,B-,100.0,Cu
65Ni,770.6,0.1035601,9063.0,B-,100.0,Cu
65Ni,852.7,0.096719,9063.0,B-,100.0,Cu
65Ni,954.5,0.0035385,9063.0,B-,100.0,Cu
65Ni,1115.53,15.42786,9063.0,B-,100.0,Cu
65Ni,1481.84,23.59,9063.0,B-,100.0,Cu
65Ni,1623.42,0.497749,9063.0,B-,100.0,Cu
65Ni,1724.92,0.398671,9063.0,B-,100.0,Cu
65Ni,0.952,0.0001989051682174,9063.0,B-,100.0,Cu
65Ni,8.028,0.0019033584306937,9063.0,B-,100.0,Cu
65Ni,8.048,0.0037080818832919,9063.0,B-,100.0,Cu
