Isotope,Energy (keV),XS (mb),Info
11B,9820.0,5.32087,"(n,n') XS"
11B,2441.65,5.07039,"(n,n') XS"
11B,2265.21,4.53688,"(n,n') XS"
11B,2529.8500000000004,4.21722,"(n,n') XS"
11B,2840.53,3.32705,"(n,n') XS"
11B,3539.8,2.64636,"(n,n') XS"
11B,11450.0,2.60481,"(n,n') XS"
11B,6429.700000000001,2.60481,"(n,n') XS"
11B,8109.0199999999995,1.62748,"(n,n') XS"
11B,10429.31,1.62748,"(n,n') XS"
11B,4475.49,1.61265,"(n,n') XS"
11B,4115.12,1.4702,"(n,n') XS"
11B,1771.5,0.788916,"(n,n') XS"
11B,692.33,0.417211,"(n,n') XS"
12C,4438.91,320.866,"(n,n') XS"
12C,9641.0,137.66,"(n,n') XS"
12C,11828.0,41.2036,"(n,n') XS"
12C,3215.29,38.1764,"(n,n') XS"
12C,11160.0,33.4923,"(n,n') XS"
12C,6721.09,33.4923,"(n,n') XS"
12C,10844.0,26.4373,"(n,n') XS"
12C,6405.09,26.4373,"(n,n') XS"
12C,12710.0,13.5902,"(n,n') XS"
12C,10300.0,11.1455,"(n,n') XS"
12C,5861.09,11.1455,"(n,n') XS"
12C,8271.089999999998,2.0577,"(n,n') XS"
14N,2312.8,168.73,"(n,n') XS"
14N,5105.889999999999,103.462,"(n,n') XS"
14N,1635.3,69.6357,"(n,n') XS"
14N,728.36,57.7253,"(n,n') XS"
14N,6446.17,49.4129,"(n,n') XS"
14N,7029.12,34.6944,"(n,n') XS"
14N,2793.0899999999997,25.1432,"(n,n') XS"
14N,3384.11,24.1836,"(n,n') XS"
14N,3378.64,21.2258,"(n,n') XS"
14N,3072.75,21.2164,"(n,n') XS"
14N,2517.83,21.0356,"(n,n') XS"
14N,9129.0,17.7369,"(n,n') XS"
14N,5834.25,15.6419,"(n,n') XS"
14N,9172.25,14.0567,"(n,n') XS"
14N,2498.0699999999997,13.8833,"(n,n') XS"
14N,3890.7,13.4977,"(n,n') XS"
