Isotope,Energy (keV),XS (mb),Compound
130Te,647.6,0.59,130Te
130Te,452.3,0.554,130Te
130Te,658.4,0.537,130Te
130Te,2105.6,0.501,130Te
130Te,1367.5,0.465,130Te
130Te,1115.3,0.447,130Te
130Te,669.7,0.394,130Te
130Te,2283.0,0.394,130Te
130Te,1135.6,0.394,130Te
130Te,1097.8,0.394,130Te
130Te,1291.0,0.376,130Te
130Te,1293.8,0.376,130Te
130Te,985.7,0.376,130Te
130Te,1103.0,0.358,130Te
130Te,1100.8,0.358,130Te
130Te,1588.2,0.34,130Te
130Te,3195.7,0.34,130Te
130Te,681.5,0.34,130Te
130Te,1086.5,0.322,130Te
130Te,2048.1,0.322,130Te
130Te,620.2,0.268,130Te
130Te,1506.7,0.268,130Te
130Te,343.3,0.268,130Te
130Te,2256.3,0.268,130Te
130Te,1636.3,0.25,130Te
130Te,1375.2,0.25,130Te
130Te,904.1,0.25,130Te
130Te,934.9,0.233,130Te
130Te,2314.8,0.215,130Te
130Te,1002.6,0.197,130Te
130Te,732.5,0.179,130Te
130Te,1219.4,0.179,130Te
130Te,2278.4,0.179,130Te
130Te,1186.1,0.161,130Te
130Te,1723.0,0.161,130Te
130Te,888.0,0.143,130Te
130Te,938.5,0.143,130Te
130Te,1658.1,0.143,130Te
130Te,2503.3,0.143,130Te
130Te,1031.0,0.143,130Te
130Te,1856.7,0.125,130Te
130Te,1533.3,0.125,130Te
130Te,2709.3,0.125,130Te
130Te,1232.1,0.125,130Te
130Te,2758.6,0.125,130Te
130Te,1729.0,0.107,130Te
00I,202.94,386.802,127I
00I,417.95,266.76,127I
00I,628.6,226.746,127I
00I,593.3,170.726,127I
00I,744.7,149.386,127I
00I,658.9,109.372,127I
00I,618.5,109.372,127I
00I,172.1,82.696,127I
00I,374.96,51.485,127I
00I,490.36,49.351,127I
00I,687.2,42.682,127I
00I,360.32,39.214,127I
00I,1044.2,34.679,127I
00I,1094.4,29.344,127I
00I,1124.0,25.075,127I
00I,572.9,22.941,127I
00I,145.6,19.74,127I
00I,1306.4,17.073,127I
00I,549.7,16.806,127I
00I,986.6,16.539,127I
00I,1228.9,16.539,127I
00I,677.8,16.539,127I
00I,827.56,16.272,127I
00I,1658.6,16.272,127I
00I,1071.95,15.739,127I
00I,763.2,15.472,127I
00I,791.7,15.472,127I
00I,1218.4,15.205,127I
00I,1516.2,14.405,127I
00I,650.8,12.804,127I
00I,1413.4,11.737,127I
00I,1015.7,11.204,127I
00I,1887.9,10.937,127I
00I,995.0,10.937,127I
00I,990.9,10.404,127I
00I,783.7,10.137,127I
00I,615.3,9.87,127I
00I,1401.6,9.87,127I
00I,919.9,9.87,127I
00I,806.1,9.603,127I
00I,1908.3,9.337,127I
00I,215.17,8.803,127I
00I,1601.1,7.469,127I
00I,909.4,7.469,127I
00I,193.7,6.936,127I
00I,944.9,6.402,127I
00I,788.2,6.402,127I
00I,1377.4,6.135,127I
00I,1860.4,6.135,127I
00I,857.2,6.135,127I
00I,1590.3,5.869,127I
00I,1142.1,5.869,127I
00I,1162.9,5.602,127I
00I,1037.0,5.335,127I
00I,1620.5,5.068,127I
00I,561.6,5.068,127I
00I,2017.0,4.802,127I
00I,465.4,4.802,127I
00I,1275.2,4.535,127I
00I,160.5,4.535,127I
00I,1267.8,4.268,127I
00I,436.7,4.268,127I
00I,1488.6,3.735,127I
00I,1025.8,3.735,127I
00I,1362.8,3.735,127I
00I,1869.5,3.468,127I
00I,2149.2,3.468,127I
00I,1345.4,3.468,127I
00I,2076.5,3.201,127I
00I,1555.6,3.201,127I
00I,529.7,3.201,127I
00I,1715.4,3.201,127I
00I,1723.2,3.201,127I
00I,1774.3,3.201,127I
00I,1279.3,2.934,127I
00I,1318.9,2.934,127I
00I,1198.8,2.668,127I
00I,1292.6,2.668,127I
00I,1420.4,2.561,127I
00I,1442.9,2.401,127I
00I,932.9,2.294,127I
00I,252.8,2.241,127Te
00I,1761.2,2.054,127I
00I,1112.5,1.947,127I
00I,1802.9,1.867,127I
00I,2119.2,1.387,127I
00I,1177.3,1.147,127I
00I,1358.0,1.067,127I
00Cs,632.56,171.054,133Cs
00Cs,624.58,128.794,133Cs
00Cs,705.56,128.794,133Cs
00Cs,705.56,128.794,133Cs
00Cs,705.56,128.794,133Cs
00Cs,624.58,128.794,133Cs
00Cs,767.68,100.62,133Cs
00Cs,302.85,94.583,133Cs
00Cs,365.95,87.539,133Cs
00Cs,871.8,50.31,133Cs
00Cs,160.64,36.223,133Cs
00Cs,383.85,36.223,133Cs
00Cs,755.58,26.161,133Cs
00Cs,480.03,26.161,133Cs
00Cs,480.03,26.161,133Cs
00Cs,559.14,25.155,133Cs
00Cs,674.54,25.155,133Cs
00Cs,355.9,25.155,133Cs
00Cs,818.92,23.143,133Cs
00Cs,916.0,22.136,133Cs
00Cs,532.78,18.112,133Cs
00Cs,728.2,14.087,133Cs
00Cs,797.0,14.087,133Cs
00Cs,658.61,14.087,133Cs
00Cs,928.54,14.087,133Cs
00Cs,712.6,12.074,133Cs
00Cs,737.4,10.062,133Cs
00Cs,834.9,8.653,133Cs
00Cs,861.1,8.251,133Cs
00Cs,1046.4,7.546,133Cs
00Cs,719.2,7.446,133Cs
00Cs,788.8,6.842,133Cs
00Cs,788.8,6.842,133Cs
00Cs,969.1,6.238,133Cs
00Cs,1474.3,5.333,133Cs
00Cs,1009.6,5.333,133Cs
00Cs,896.8,4.729,133Cs
00Cs,1066.4,4.629,133Cs
00Cs,391.9,4.528,133Cs
00Cs,780.4,4.226,133Cs
00Cs,1148.4,4.226,133Cs
00Cs,959.8,4.125,133Cs
00Cs,276.4,4.025,133Cs
00Cs,347.5,3.924,133Cs
00Cs,1090.8,3.924,133Cs
00Cs,910.1,3.723,133Cs
00Cs,1218.7,3.421,133Cs
00Cs,1540.1,3.32,133Cs
00Cs,1352.7,3.32,133Cs
00Cs,940.8,3.119,133Cs
00Cs,1674.2,3.119,133Cs
00Cs,1496.9,3.019,133Cs
00Cs,1365.5,3.019,133Cs
00Cs,1693.4,2.918,133Cs
00Cs,1617.2,2.817,133Cs
00Cs,1652.2,2.817,133Cs
00Cs,318.3,2.616,133Cs
00Cs,1272.2,2.415,133Cs
00Cs,1140.6,2.314,133Cs
00Cs,747.5,2.314,133Cs
00Cs,1510.6,2.314,133Cs
00Cs,1432.3,2.214,133Cs
00Cs,1132.2,2.214,133Cs
00Cs,1127.1,2.214,133Cs
00Cs,1233.8,2.214,133Cs
00Cs,1919.5,2.113,133Cs
00Cs,1643.1,2.113,133Cs
00Cs,287.8,2.113,133Cs
00Cs,1165.7,2.113,133Cs
00Cs,1281.9,2.113,133Cs
00Cs,1324.8,2.113,133Cs
00Cs,1295.1,2.012,133Cs
00Cs,1412.8,1.811,133Cs
00Cs,1730.3,1.811,133Cs
00Cs,1306.6,1.711,133Cs
00Cs,1404.6,1.711,133Cs
00Cs,1610.3,1.711,133Cs
00Cs,1879.7,1.711,133Cs
00Cs,1391.2,1.61,133Cs
00Cs,2002.3,1.61,133Cs
00Cs,1598.3,1.509,133Cs
00Cs,1526.0,1.509,133Cs
00Cs,1174.1,1.409,133Cs
00Cs,1781.3,1.409,133Cs
00Cs,1815.5,1.308,133Cs
00Cs,2156.9,1.207,133Cs
00Cs,1937.3,1.107,133Cs
00Cs,937.0,1.006,133Cs
00Cs,2124.5,0.906,133Cs
00Cs,1033.5,0.865,133Cs
00Cs,2035.3,0.724,133Cs
00Cs,880.2,0.402,133Cs
00Ba,1435.86,304.2,138Ba
00Ba,462.75,109.512,138Ba
00Ba,818.47,72.4,136Ba
00Ba,191.95,49.585,138Ba
00Ba,283.65,37.721,137Ba
00Ba,2218.03,34.983,138Ba
00Ba,220.98,26.77,135Ba
00Ba,661.62,26.161,137Ba
00Ba,480.56,25.553,135Ba
00Ba,604.6,21.294,134Ba
00Ba,872.7,19.469,138Ba
00Ba,872.7,19.469,135Ba
00Ba,1252.1,14.602,Ba
00Ba,1445.7,14.602,138Ba
00Ba,1294.0,14.297,137Ba
00Ba,1009.7,12.776,138Ba
00Ba,1552.3,9.126,136Ba
00Ba,1836.2,9.126,137Ba
00Ba,2638.9,9.126,138Ba
00Ba,1463.9,8.822,137Ba
00Ba,445.9,8.822,Ba
00Ba,732.7,8.518,136Ba
00Ba,587.6,8.518,135Ba
00Ba,1614.1,8.518,138Ba
00Ba,1048.1,8.213,136Ba
00Ba,325.1,7.909,138Ba
00Ba,408.7,7.605,138Ba
00Ba,1415.8,6.692,138Ba
00Ba,979.6,6.388,135Ba
00Ba,1343.6,6.084,138Ba
00Ba,1147.7,5.476,138Ba
00Ba,855.2,5.171,135Ba
00Ba,365.9,5.171,138Ba
00Ba,212.2,5.171,138Ba
00Ba,1136.9,5.171,137Ba
00Ba,546.9,5.171,138Ba
00Ba,365.9,5.171,135Ba
00Ba,1495.5,5.171,138Ba
00Ba,754.1,5.171,138Ba
00Ba,1235.4,4.867,136Ba
00Ba,795.9,4.563,Ba
00Ba,1481.2,4.563,Ba
00Ba,924.7,3.346,Ba
00Ba,1261.9,3.042,136Ba
00Ba,880.8,3.042,138Ba
00Ba,759.1,2.738,136Ba
00Ba,759.1,2.738,135Ba
00Ba,909.6,2.555,135Ba
00Ba,1901.0,2.434,137Ba
00Ba,1309.6,2.434,136Ba
00Ba,719.2,2.434,135Ba
00Ba,357.3,2.281,Ba
00Ba,1357.8,2.129,Ba
00Ba,1892.6,2.129,Ba
00Ba,2128.2,2.129,136Ba
00Ba,669.0,1.947,Ba
00Ba,683.1,1.856,Ba
00Ba,1403.3,1.825,Ba
00Ba,1363.9,1.825,Ba
00Ba,2065.6,1.825,Ba
00Ba,994.9,1.825,Ba
00Ba,1379.7,1.217,Ba
00Ba,1388.2,1.217,Ba
00La,165.85,774.727,139La
00La,1537.69,119.958,139La
00La,1215.49,114.126,139La
00La,1420.56,83.304,139La
00La,1219.1,66.643,139La
00La,1578.09,59.979,139La
00La,330.7,44.984,139La
00La,1310.64,39.986,139La
00La,1310.64,39.986,139La
00La,1716.11,30.822,139La
00La,1683.1,29.156,139La
00La,1090.97,27.49,139La
00La,1256.0,20.826,139La
00La,1256.0,20.826,139La
00La,1853.64,18.327,139La
00La,174.6,16.661,139La
00La,425.2,16.661,139La
00La,1595.6,14.995,139La
00La,1370.5,13.828,139La
00La,291.3,13.745,139La
00La,1043.1,12.496,139La
00La,846.8,12.496,139La
00La,1920.7,10.413,139La
00La,2210.5,9.996,139La
00La,1558.5,9.83,139La
00La,1951.4,9.33,139La
00La,308.3,8.83,139La
00La,1690.6,8.664,139La
00La,1755.0,8.664,139La
00La,1600.9,8.33,139La
00La,1766.0,8.33,139La
00La,403.8,8.164,139La
00La,232.5,7.581,139La
00La,363.1,7.414,139La
00La,1392.4,7.247,139La
00La,1054.2,6.664,139La
00La,2386.8,6.164,139La
00La,1797.1,5.915,139La
00La,581.3,5.831,139La
00La,1462.6,5.581,139La
00La,2060.9,5.498,139La
00La,1476.1,5.498,139La
00La,1381.1,5.498,139La
00La,2407.0,5.248,139La
00La,2298.0,5.165,139La
00La,2314.2,4.998,139La
00La,1894.0,3.915,139La
00La,1894.0,3.915,139La
00La,2356.1,3.832,139La
00La,2276.2,3.665,139La
00La,1613.6,3.582,139La
00La,2071.4,3.082,139La
00La,1626.7,2.582,139La
00La,2244.6,2.333,139La
00Ce,1596.2,449.28,140Ce
00Ce,487.06,166.234,140Ce
00Ce,641.23,130.291,142Ce
00Ce,867.8,29.203,140Ce
00Ce,241.91,29.203,140Ce
00Ce,578.1,28.305,142Ce
00Ce,266.61,27.855,140Ce
00Ce,328.67,26.508,140Ce
00Ce,751.65,22.913,140Ce
00Ce,815.84,20.667,140Ce
00Ce,894.76,18.42,142Ce
00Ce,131.3,14.826,140Ce
00Ce,306.91,14.826,140Ce
00Ce,432.44,13.478,140Ce
00Ce,925.1,13.029,140Ce
00Ce,1011.5,11.681,142Ce
00Ce,950.84,10.333,140Ce
00Ce,919.5,9.435,140Ce
00Ce,846.3,8.986,Ce
00Ce,1404.3,8.536,142Ce
00Ce,337.0,8.087,Ce
00Ce,2521.3,6.29,140Ce
00Ce,2347.5,5.391,140Ce
00Ce,2900.1,4.942,140Ce
00Ce,522.0,3.729,142Ce
00Ce,1098.8,3.594,Ce
00Ce,1304.0,3.594,140Ce
00Ce,962.1,3.415,142Ce
00Ce,1041.1,3.28,Ce
00Ce,1233.6,3.145,Ce
00Ce,983.1,2.875,Ce
00Ce,1059.0,2.83,Ce
00Ce,2547.4,2.561,140Ce
00Ce,3120.4,2.516,140Ce
00Ce,1724.9,2.381,Ce
00Ce,1045.5,2.246,Ce
00Ce,1526.4,2.201,Ce
00Ce,788.2,1.932,Ce
00Ce,1463.3,1.707,Ce
00Ce,740.0,1.707,Ce
00Ce,1812.3,1.617,Ce
00Ce,1899.3,1.528,Ce
00Ce,774.0,1.348,Ce
00Ce,1958.5,1.303,Ce
00Ce,1620.5,1.033,Ce
00Pr,145.45,1853.28,141Pr
00Pr,1126.9,154.44,141Pr
00Pr,972.24,128.185,141Pr
00Pr,1521.13,78.764,141Pr
00Pr,1292.6,78.764,141Pr
00Pr,1312.13,78.764,141Pr
00Pr,1435.34,77.22,141Pr
00Pr,1306.85,77.22,141Pr
00Pr,1435.34,77.22,141Pr
00Pr,1348.7,72.587,141Pr
00Pr,650.34,54.054,141Pr
00Pr,1147.24,52.51,141Pr
00Pr,1651.48,50.965,141Pr
00Pr,1298.74,50.965,141Pr
00Pr,1290.0,41.699,141Pr
00Pr,1608.3,30.888,141Pr
00Pr,273.3,27.799,141Pr
00Pr,1457.52,26.255,141Pr
00Pr,1786.45,24.71,141Pr
00Pr,1708.75,21.622,141Pr
00Pr,1667.28,20.077,141Pr
00Pr,1452.21,20.077,141Pr
00Pr,1375.7,18.533,141Pr
00Pr,1842.22,18.533,141Pr
00Pr,2027.1,16.988,141Pr
00Pr,1900.9,16.988,141Pr
00Pr,1858.4,13.9,141Pr
00Pr,1696.8,12.819,141Pr
00Pr,1117.65,11.737,141Pr
00Pr,1641.2,11.12,141Pr
00Pr,1854.9,10.811,141Pr
00Pr,1580.2,9.73,141Pr
00Pr,1506.9,9.421,141Pr
00Pr,668.88,9.266,141Pr
00Pr,668.88,9.266,141Pr
00Pr,1812.9,8.958,141Pr
00Pr,749.21,8.958,141Pr
00Pr,179.6,8.494,141Pr
00Pr,2248.8,8.185,141Pr
00Pr,1975.7,8.031,141Pr
00Pr,2018.8,6.795,141Pr
00Pr,268.3,6.795,141Pr
00Pr,2159.7,6.641,141Pr
00Pr,1961.1,6.332,141Pr
00Pr,359.8,6.332,141Pr
00Pr,359.8,6.332,141Pr
00Pr,359.8,6.332,141Pr
00Pr,352.7,6.178,141Pr
00Pr,2462.4,6.178,141Pr
00Pr,2453.6,6.178,141Pr
00Pr,2603.1,6.178,141Pr
00Pr,352.7,6.178,141Pr
00Pr,1023.1,5.714,141Pr
00Pr,2061.4,5.714,141Pr
00Pr,1830.5,5.251,141Pr
00Pr,2192.7,5.097,141Pr
00Pr,1658.0,5.097,141Pr
00Pr,218.3,4.942,141Pr
00Pr,2581.2,4.788,141Pr
00Pr,2559.6,4.788,141Pr
00Pr,723.6,4.788,141Pr
00Pr,2136.2,4.633,141Pr
00Pr,1140.3,4.633,141Pr
00Pr,2403.9,4.633,141Pr
00Pr,277.5,4.479,141Pr
00Pr,736.0,4.324,141Pr
00Pr,981.74,4.324,141Pr
00Pr,530.88,3.707,141Pr
00Pr,2414.4,3.707,141Pr
00Pr,558.6,3.552,141Pr
00Pr,339.9,3.552,141Pr
00Pr,2105.3,3.398,141Pr
00Pr,302.1,3.398,141Pr
00Pr,2282.9,3.243,141Pr
00Pr,861.5,3.243,141Pr
00Pr,2352.8,3.089,141Pr
00Pr,546.4,3.089,141Pr
00Pr,1825.2,3.089,141Pr
00Pr,2274.6,2.934,141Pr
00Pr,2313.8,2.78,141Pr
00Pr,523.6,2.78,141Pr
00Pr,893.0,2.008,141Pr
00Nd,696.6,149.76,144Nd
00Nd,453.94,134.784,Nd
00Nd,129.97,62.899,150Nd
00Nd,1575.85,61.402,142Nd
00Nd,301.71,55.411,148Nd
00Nd,618.04,29.952,144Nd
00Nd,589.69,23.962,146Nd
00Nd,525.49,21.715,142Nd
00Nd,657.9,18.42,Nd
00Nd,736.0,17.971,146Nd
00Nd,251.12,15.126,150Nd
00Nd,742.3,14.976,143Nd
00Nd,334.2,12.131,Nd
00Nd,864.5,11.981,144Nd
00Nd,1466.0,10.483,Nd
00Nd,814.2,9.585,144Nd
00Nd,1408.0,8.986,143Nd
00Nd,1228.1,8.686,143Nd
00Nd,1015.9,8.686,146Nd
00Nd,1431.8,7.338,143Nd
00Nd,722.7,6.14,150Nd
00Nd,1377.2,5.99,144Nd
00Nd,921.7,5.841,Nd
00Nd,326.4,5.691,bg
00Nd,1333.1,4.643,Nd
00Nd,748.0,4.643,Nd
00Nd,476.6,4.493,144Nd
00Nd,980.7,4.193,144Nd
00Nd,1212.0,3.744,Nd
00Nd,1413.3,3.594,144Nd
00Nd,676.6,3.444,Nd
00Nd,338.4,3.295,150Nd
00Nd,971.0,3.145,Nd
00Nd,1557.0,2.995,143Nd
00Nd,789.8,2.696,Nd
00Nd,582.5,2.396,Nd
00Nd,778.6,2.396,144Nd
00Nd,1162.0,2.396,Nd
00Nd,1247.5,2.246,Nd
00Nd,946.6,2.246,Nd
00Nd,1149.8,2.097,Nd
00Nd,439.1,2.097,Nd
00Nd,262.3,1.947,Nd
00Nd,630.8,1.797,Nd
00Sm,121.6,481.853,147Sm
00Sm,121.6,481.853,152Sm
00Sm,333.92,367.474,150Sm
00Sm,550.23,243.36,148Sm
00Sm,439.4,160.618,150Sm
00Sm,439.4,160.618,152Sm
00Sm,244.66,111.946,152Sm
00Sm,185.06,111.946,154Sm
00Sm,1114.0,90.043,152Sm
00Sm,1114.0,90.043,148Sm
00Sm,285.84,63.274,149Sm
00Sm,629.87,60.84,148Sm
00Sm,716.5,55.973,Sm
00Sm,611.9,53.539,147Sm
00Sm,611.9,53.539,148Sm
00Sm,277.2,47.212,149Sm
00Sm,277.2,47.212,154Sm
00Sm,1172.0,46.238,Sm
00Sm,1172.0,46.238,150Sm
00Sm,197.4,38.938,147Sm
00Sm,963.3,38.938,152Sm
00Sm,920.1,36.504,152Sm
00Sm,920.1,36.504,150Sm
00Sm,920.1,36.504,154Sm
00Sm,737.45,27.743,150Sm
00Sm,810.5,27.5,152Sm
00Sm,327.8,26.526,149Sm
00Sm,664.05,26.283,149Sm
00Sm,215.11,24.823,Sm
00Sm,840.5,24.336,154Sm
00Sm,840.5,24.336,152Sm
00Sm,563.24,23.849,152Sm
00Sm,930.0,22.146,154Sm
00Sm,675.44,21.902,150Sm
00Sm,675.44,21.902,Sm
00Sm,675.44,21.902,152Sm
00Sm,1352.0,20.686,154Sm
00Sm,1352.0,20.686,148Sm
00Sm,414.2,20.686,148Sm
00Sm,712.5,20.442,150Sm
00Sm,1659.8,16.062,144Sm
00Sm,584.3,15.332,150Sm
00Sm,745.8,15.332,154Sm
00Sm,149.8,15.088,144Sm
00Sm,1392.6,14.845,154Sm
00Sm,1392.6,14.845,Sm
00Sm,688.3,14.845,152Sm
00Sm,857.6,14.602,150Sm
00Sm,857.6,14.602,152Sm
00Sm,1194.0,13.872,150Sm
00Sm,1194.0,13.872,152Sm
00Sm,913.0,12.411,Sm
00Sm,913.0,12.411,154Sm
00Sm,913.0,12.411,148Sm
00Sm,1017.6,11.681,154Sm
00Sm,340.6,11.681,152Sm
00Sm,127.3,11.195,Sm
00Sm,405.4,10.221,150Sm
00Sm,254.6,9.248,149Sm
00Sm,314.4,9.004,149Sm
00Sm,656.5,9.004,152Sm
00Sm,461.5,8.518,Sm
00Sm,591.0,8.518,149Sm
00Sm,903.5,8.274,152Sm
00Sm,903.5,8.274,148Sm
00Sm,505.6,8.274,150Sm
00Sm,505.6,8.274,149Sm
00Sm,1204.0,7.301,Sm
00Sm,1432.2,6.571,154Sm
00Sm,166.5,6.571,Sm
00Sm,535.8,6.327,149Sm
00Sm,1096.5,6.327,154Sm
00Sm,251.4,6.084,150Sm
00Sm,1440.4,5.841,154Sm
00Sm,1842.0,5.841,152Sm
00Sm,1842.0,5.841,154Sm
00Sm,1408.9,5.597,Sm
00Sm,222.8,5.111,Sm
00Sm,1085.8,5.111,152Sm
00Sm,158.7,4.867,Sm
00Sm,528.7,4.624,149Sm
00Sm,397.7,4.624,149Sm
00Sm,297.7,4.38,150Sm
00Sm,1422.9,4.38,148Sm
00Sm,361.6,4.137,Sm
00Sm,1005.5,4.137,152Sm
00Sm,1318.0,4.137,154Sm
00Sm,1069.2,3.894,154Sm
00Sm,228.5,3.894,Sm
00Sm,320.6,3.894,Sm
00Sm,1047.4,3.407,150Sm
00Sm,1047.4,3.407,Sm
00Sm,637.0,2.069,154Sm
00Sm,969.4,1.241,Sm
144Sm,1659.77,16.062,144Sm
144Sm,150.05,9.316,144Sm
144Sm,380.97,3.534,144Sm
144Sm,530.8,1.462,144Sm
144Sm,2423.8,1.108,144Sm
144Sm,893.7,0.739,145Sm
144Sm,397.1,0.659,144Sm
144Sm,132.3,0.642,144Sm
144Sm,1000.7,0.514,144Sm
144Sm,984.1,0.434,144Sm
144Sm,2798.8,0.379,144Sm
144Sm,1809.9,0.353,144Sm
144Sm,817.2,0.289,144Sm
144Sm,1015.2,0.241,144Sm
144Sm,1028.0,0.223,144Sm
144Sm,613.5,0.177,144Sm
144Sm,1222.2,0.177,144Sm
144Sm,498.0,0.161,144Sm
144Sm,777.5,0.135,144Sm
144Sm,1497.9,0.132,144Sm
144Sm,1359.5,0.128,144Sm
144Sm,1699.0,0.112,144Sm
144Sm,3227.5,0.112,144Sm
144Sm,1754.3,0.104,144Sm
144Sm,1072.5,0.104,144Sm
144Sm,1308.7,0.098,144Sm
144Sm,1210.1,0.096,144Sm
144Sm,1684.7,0.084,144Sm
144Sm,1731.9,0.084,144Sm
144Sm,1425.2,0.064,144Sm
144Sm,1383.5,0.064,144Sm
144Sm,1743.2,0.064,144Sm
144Sm,1873.3,0.064,144Sm
144Sm,2054.0,0.064,144Sm
144Sm,2069.9,0.048,144Sm
144Sm,2315.3,0.048,144Sm
144Sm,2011.5,0.024,144Sm
148Sm,550.23,243.36,148Sm
148Sm,611.06,39.911,148Sm
148Sm,629.87,34.557,148Sm
148Sm,414.23,10.221,148Sm
148Sm,903.9,8.761,148Sm
148Sm,1454.5,8.518,148Sm
148Sm,1465.2,8.274,148Sm
148Sm,1113.7,6.327,148Sm
148Sm,915.0,4.965,148Sm
148Sm,571.6,4.38,148Sm
148Sm,874.0,4.137,148Sm
148Sm,1353.65,3.65,148Sm
148Sm,1422.0,3.407,148Sm
148Sm,870.0,3.407,148Sm
148Sm,1663.6,2.726,148Sm
148Sm,896.9,2.677,148Sm
148Sm,1344.6,2.677,148Sm
148Sm,1596.4,1.947,148Sm
148Sm,725.1,1.947,148Sm
148Sm,432.3,1.704,148Sm
148Sm,1656.3,1.558,148Sm
148Sm,930.8,1.46,148Sm
148Sm,1034.2,1.46,148Sm
148Sm,714.6,1.46,148Sm
148Sm,590.9,1.217,148Sm
148Sm,810.5,0.973,148Sm
148Sm,1147.1,0.973,148Sm
148Sm,1371.1,0.925,148Sm
148Sm,1181.1,0.779,148Sm
148Sm,1831.7,0.73,148Sm
148Sm,1839.0,0.73,148Sm
148Sm,1048.2,0.681,148Sm
148Sm,2204.1,0.584,148Sm
148Sm,1971.7,0.535,148Sm
148Sm,2512.1,0.535,148Sm
148Sm,1307.0,0.511,148Sm
148Sm,2706.2,0.511,148Sm
148Sm,1262.7,0.487,148Sm
148Sm,1152.5,0.487,148Sm
148Sm,1066.6,0.487,148Sm
148Sm,1985.9,0.487,148Sm
148Sm,2467.7,0.487,148Sm
148Sm,1857.8,0.487,148Sm
148Sm,1759.0,0.487,148Sm
148Sm,1766.3,0.487,148Sm
148Sm,1677.7,0.438,148Sm
148Sm,311.2,0.414,148Sm
148Sm,1747.6,0.414,148Sm
148Sm,966.8,0.414,148Sm
148Sm,449.7,0.414,148Sm
148Sm,1413.0,0.389,148Sm
148Sm,1622.0,0.365,148Sm
148Sm,2083.9,0.365,148Sm
148Sm,2683.5,0.365,148Sm
148Sm,2535.3,0.341,148Sm
148Sm,1586.7,0.316,148Sm
148Sm,1324.0,0.243,148Sm
150Sm,333.92,367.474,150Sm
150Sm,439.4,58.061,150Sm
150Sm,406.46,28.295,150Sm
150Sm,737.45,27.561,150Sm
150Sm,712.23,27.193,150Sm
150Sm,1166.0,10.657,150Sm
150Sm,505.6,8.342,150Sm
150Sm,1194.0,7.827,150Sm
150Sm,584.3,6.247,150Sm
150Sm,832.0,6.21,150Sm
150Sm,859.9,5.953,150Sm
150Sm,1047.2,5.402,150Sm
150Sm,1047.2,5.402,150Sm
150Sm,1171.0,4.777,150Sm
150Sm,921.3,4.042,150Sm
150Sm,675.9,3.748,150Sm
150Sm,1324.5,3.528,150Sm
150Sm,1379.8,3.16,150Sm
150Sm,346.0,2.94,150Sm
150Sm,251.6,2.572,150Sm
150Sm,1350.7,2.315,150Sm
150Sm,868.9,2.205,150Sm
150Sm,403.1,1.837,150Sm
150Sm,297.8,1.837,150Sm
150Sm,911.4,1.801,150Sm
150Sm,1083.3,1.727,150Sm
150Sm,748.8,1.543,150Sm
150Sm,731.4,1.47,150Sm
150Sm,899.0,1.396,150Sm
150Sm,1178.0,1.249,150Sm
150Sm,629.2,1.213,150Sm
150Sm,668.0,1.102,150Sm
150Sm,1308.5,1.102,150Sm
150Sm,1670.8,1.102,150Sm
150Sm,371.5,0.919,150Sm
150Sm,371.5,0.919,150Sm
150Sm,1500.2,0.845,150Sm
150Sm,855.9,0.845,150Sm
150Sm,1343.5,0.808,150Sm
150Sm,1270.1,0.808,150Sm
150Sm,1264.3,0.808,150Sm
150Sm,1461.3,0.808,150Sm
150Sm,305.8,0.772,150Sm
150Sm,761.4,0.772,150Sm
150Sm,761.4,0.772,150Sm
150Sm,462.7,0.735,150Sm
150Sm,1486.5,0.625,150Sm
150Sm,237.0,0.625,150Sm
150Sm,1223.4,0.588,150Sm
150Sm,1711.6,0.551,150Sm
150Sm,1389.1,0.551,150Sm
150Sm,997.7,0.478,150Sm
150Sm,1297.8,0.478,150Sm
150Sm,1024.5,0.478,150Sm
150Sm,1289.0,0.404,150Sm
150Sm,1452.4,0.404,150Sm
150Sm,945.4,0.404,150Sm
150Sm,1123.2,0.404,150Sm
150Sm,938.3,0.404,150Sm
150Sm,390.7,0.404,150Sm
150Sm,1214.0,0.404,150Sm
150Sm,612.4,0.367,150Sm
150Sm,1247.7,0.367,150Sm
150Sm,810.8,0.331,150Sm
150Sm,1964.0,0.331,150Sm
150Sm,1258.9,0.294,150Sm
150Sm,1865.5,0.294,150Sm
150Sm,2032.6,0.294,150Sm
150Sm,545.4,0.294,150Sm
150Sm,1003.6,0.294,150Sm
150Sm,1516.6,0.294,150Sm
150Sm,638.4,0.294,150Sm
150Sm,620.5,0.294,150Sm
150Sm,425.2,0.294,150Sm
150Sm,1558.5,0.294,150Sm
150Sm,876.6,0.257,150Sm
150Sm,1820.0,0.257,150Sm
150Sm,453.4,0.257,150Sm
150Sm,558.4,0.246,150Sm
150Sm,1634.7,0.22,150Sm
150Sm,1548.8,0.22,150Sm
150Sm,1912.0,0.22,150Sm
150Sm,1956.0,0.22,150Sm
150Sm,1927.6,0.22,150Sm
150Sm,1553.0,0.22,150Sm
150Sm,152.9,0.22,150Sm
150Sm,820.3,0.22,150Sm
150Sm,1431.0,0.22,150Sm
150Sm,1218.9,0.22,150Sm
150Sm,817.1,0.22,150Sm
150Sm,1412.6,0.22,150Sm
