Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
76Ge,1481.73,0.0054,0.00039999999999999996,52.9,B-
76Ge,825.4,0.0051,0.0013,40700.0,B-
76Ge,557.0,0.0051,1.52e-05,40700.0,B-
76Ge,638.97,0.00481,0.00013099999999999999,40700.0,B-
76Ge,680.36,0.00462,0.00013099999999999999,40700.0,B-
76Ge,1326.05,0.004560000000000001,0.00013099999999999999,40700.0,B-
76Ge,150.6,0.0045000000000000005,0.0013,40700.0,B-
76Ge,966.4,0.0045000000000000005,0.0013,40700.0,B-
76Ge,1810.2,0.0045000000000000005,0.0006,40700.0,B-
76Ge,1186.52,0.00443,0.00013099999999999999,40700.0,B-
76Ge,1454.75,0.00443,0.00013099999999999999,40700.0,B-
76Ge,1878.6,0.00436,0.00013099999999999999,40700.0,B-
76Ge,1104.23,0.00404,0.00013099999999999999,40700.0,B-
76Ge,1052.54,0.0037199999999999998,0.00013,40700.0,B-
76Ge,660.06,0.00366,0.00013,40700.0,B-
76Ge,945.73,0.00366,0.00013,40700.0,B-
76Ge,857.62,0.00366,0.00013,40700.0,B-
76Ge,945.73,0.00366,0.00013,40700.0,B-
76Ge,1358.74,0.00347,0.00013,40700.0,B-
76Ge,802.84,0.00334,0.00013,40700.0,B-
76Ge,1234.55,0.00334,0.00013,40700.0,B-
76Ge,1134.77,0.00327,0.00013,40700.0,B-
76Ge,1831.23,0.00327,0.00013,40700.0,B-
76Ge,970.1,0.0031999999999999997,0.001,40700.0,B-
76Ge,325.6,0.0031999999999999997,0.001,40700.0,B-
76Ge,1929.41,0.00314,0.00013,40700.0,B-
76Ge,685.37,0.003,0.0003,40700.0,B-
76Ge,1911.91,0.00282,0.00013,40700.0,B-
76Ge,990.3,0.0028,0.0003,52.9,B-
76Ge,2328.04,0.00263,0.00013,40700.0,B-
76Ge,264.7,0.0026,0.0003,52.9,B-
76Ge,1642.6,0.0025,0.00019,40700.0,B-
76Ge,730.4,0.00244,0.00013,40700.0,B-
76Ge,313.3,0.00244,6.04e-05,40700.0,B-
76Ge,1155.37,0.00231,0.00013,40700.0,B-
76Ge,2248.12,0.0021,0.0003,40700.0,B-
76Ge,444.42,0.0020499999999999997,6.03e-05,40700.0,B-
76Ge,350.1,0.00199,0.00013,40700.0,B-
76Ge,1323.32,0.00193,6.03e-05,40700.0,B-
76Ge,884.17,0.0018599999999999999,6.03e-05,40700.0,B-
76Ge,775.75,0.0018,6.02e-05,40700.0,B-
76Ge,1340.0,0.0018,0.0003,52.9,B-
76Ge,1354.31,0.00173,6.02e-05,40700.0,B-
76Ge,889.23,0.00167,6.02e-05,40700.0,B-
76Ge,1007.47,0.0015999999999999999,6.02e-05,40700.0,B-
76Ge,1881.47,0.0015400000000000001,0.00019,40700.0,B-
76Ge,655.28,0.00148,6.02e-05,40700.0,B-
76Ge,1557.03,0.00148,6.02e-05,40700.0,B-
76Ge,430.6,0.00122,6.0100000000000004e-05,40700.0,B-
76Ge,1829.03,0.0012,0.0003,40700.0,B-
76Ge,1735.66,0.00109,6.0100000000000004e-05,40700.0,B-
76Ge,470.0,0.0009599999999999999,6.0100000000000004e-05,40700.0,B-
76Ge,1948.62,0.0009599999999999999,0.00013,40700.0,B-
76Ge,1397.3,0.0009,6.0100000000000004e-05,40700.0,B-
76Ge,1385.78,0.0009,6.0100000000000004e-05,40700.0,B-
76Ge,1784.4,0.0009,6.0100000000000004e-05,40700.0,B-
76Ge,2280.0,0.0009,0.00013,40700.0,B-
76Ge,1100.8,0.00083,0.00021,52.9,B-
76Ge,1389.1,0.00083,0.00016,52.9,B-
76Ge,1411.8,0.0007800000000000001,0.00021,52.9,B-
76Ge,1639.5,0.0007700000000000001,0.00019,40700.0,B-
76Ge,1461.2,0.00073,0.00016,52.9,B-
76Ge,1021.9,0.00071,5.9999999999999995e-05,40700.0,B-
76Ge,1759.6,0.0007,0.0005,40700.0,B-
76Ge,1624.13,0.00064,0.00013,40700.0,B-
76Ge,1061.6,0.00062,0.00016,52.9,B-
76Ge,665.4,0.00058,5.9999999999999995e-05,40700.0,B-
76Ge,2353.4,0.00058,5.9999999999999995e-05,40700.0,B-
76Ge,1172.4,0.00047,0.00021,52.9,B-
76Ge,534.99,0.00013,5.9999999999999995e-05,40700.0,B-
78Se,95.73,3.1,0.8,235.0,IT
78Kr,130.01,0.16,0.02,50.0,IT
79Br,37.052,428.0,12.0,15900.0,IT
79Br,616.3,390.0,40.0,1060.0,B-
79Br,665.8,62.8,0.608,1060.0,EC
79Br,639.4,15.2,1.2,1060.0,B-
79Br,703.8,11.299999999999999,1.7,1060.0,B-
79Br,1256.2,4.3,0.4,1060.0,B-
79Br,48.786,3.54,0.1,15900.0,IT
79Br,812.2,2.3,0.8,1060.0,EC
80Kr,190.46,72.0,10.0,13.1,IT
80Se,102.89,6.5,0.4,3440.0,IT
80Se,275.93,1.6,0.00317,1110.0,B-
80Se,290.04,1.35,0.1,1110.0,B-
80Se,828.27,0.69,0.05,1110.0,B-
80Se,566.03,0.54,0.04,1110.0,B-
80Se,552.42,0.214,0.016,1110.0,B-
80Se,538.2,0.12000000000000001,0.008,1110.0,B-
80Se,649.79,0.061,0.004,1110.0,B-
80Se,290.1,0.039,0.004,1110.0,B-
80Se,178.26,0.0143,0.0014,1110.0,B-
80Se,789.1,0.0069,0.0007999999999999999,1110.0,B-
81Br,776.517,990.0,10.1,127000.0,B-
81Br,554.348,838.0,8.1,127000.0,B-
81Br,619.106,515.0,5.0600000000000005,127000.0,B-
81Br,698.374,337.0,3.04,127000.0,B-
81Br,1044.002,323.0,3.04,127000.0,B-
81Br,1317.473,314.0,3.04,127000.0,B-
81Br,827.828,285.0,3.0300000000000002,127000.0,B-
81Br,1474.88,193.0,2.02,127000.0,B-
81Br,221.48,26.8,0.8009999999999999,127000.0,B-
81Br,1007.59,15.100000000000001,0.152,127000.0,B-
81Br,606.37,14.0,0.0207,127000.0,B-
81Br,273.48,9.5,0.3,127000.0,B-
81Br,1650.37,8.8,0.0909,127000.0,B-
81Br,92.19,8.5,0.4,127000.0,B-
81Br,1081.29,7.32,0.2,127000.0,B-
81Br,952.02,4.35,0.2,127000.0,B-
81Br,45.949,2.85,0.12000000000000001,368.0,IT
81Br,776.5,2.5,0.19,368.0,B-
81Br,137.4,1.8,0.0202,127000.0,B-
81Br,1779.66,1.35,0.0201,127000.0,B-
81Br,332.9,1.07,0.05,127000.0,B-
81Br,1180.1,1.02,0.09000000000000001,127000.0,B-
81Br,1072.9,0.94,0.15,127000.0,B-
81Br,1474.83,0.9,0.060000000000000005,368.0,B-
81Br,735.64,0.8899999999999999,0.1,127000.0,B-
81Br,100.89,0.83,0.08,127000.0,B-
81Br,698.21,0.53,0.06999999999999999,368.0,B-
81Br,1956.8,0.46299999999999997,0.013,127000.0,B-
81Br,129.29,0.36000000000000004,0.06999999999999999,127000.0,B-
81Br,1871.6,0.3,0.1,127000.0,B-
81Br,619.09,0.23,0.00033999999999999997,368.0,B-
81Br,1174.0,0.21000000000000002,0.09000000000000001,127000.0,B-
81Br,599.5,0.16,0.09000000000000001,127000.0,B-
81Br,179.8,0.12000000000000001,0.09000000000000001,127000.0,B-
81Br,401.16,0.108,0.009000000000000001,127000.0,B-
81Br,1099.9,0.06999999999999999,0.030000000000000002,127000.0,B-
81Br,1180.27,0.0379,0.0019,368.0,B-
81Br,1072.99,0.019899999999999998,0.0019,368.0,B-
81Br,1956.75,0.0161,0.0012,368.0,B-
81Br,1317.44,0.011,1.63e-05,368.0,B-
81Br,1879.5,0.0038,0.0007,368.0,B-
81Br,1168.5,0.0031,0.0007,368.0,B-
81Br,1703.19,0.0028,0.0003,368.0,B-
81Br,1180.95,0.0026,0.0007,368.0,B-
81Br,2479.6,0.0023,0.0003,368.0,B-
81Br,711.2,0.00173,0.00011999999999999999,368.0,B-
81Br,2656.0,0.0007,7.000000000000001e-05,368.0,B-
81Br,1395.1,0.0005,0.0003,368.0,B-
82Kr,9.405,122.0,24.0,6590.0,IT
82Kr,32.15,1.08,0.22,6590.0,IT
84Kr,151.195,38.5,0.27399999999999997,16100.0,B-
84Kr,304.87,7.1000000000000005,1.2,16100.0,IT
84Sr,231.68,2.9,0.304,4060.0,IT
84Sr,150.75,0.46,0.0506,4060.0,EC
84Kr,129.81,0.154,0.00408,16100.0,B-
84Sr,238.7,0.0095,0.00101,4060.0,IT
84Kr,451.0,0.0058000000000000005,0.0019,16100.0,B-
84Kr,731.6,0.0038,0.0015,16100.0,B-
84Kr,281.01,0.00038,1.95e-06,16100.0,B-
84Kr,580.6,0.00038,1.95e-06,16100.0,B-
85Rb,555.61,40.7,1.0,61.0,IT
85Rb,1076.64,30.099999999999998,0.5,1610000.0,B-
86Sr,388.526,78.5,2.3,10100.0,IT
86Kr,402.587,0.257,0.010499999999999999,4580.0,B-
86Kr,2554.8,0.0478,0.00237,4580.0,B-
86Kr,845.44,0.038,0.0011,4580.0,B-
86Kr,2558.1,0.0203,0.00132,4580.0,B-
86Kr,2011.88,0.0149,0.000627,4580.0,B-
86Kr,1740.52,0.0106,0.000263,4580.0,B-
86Kr,673.83,0.0098,0.00032300000000000004,4580.0,B-
86Kr,1175.4,0.00573,0.000193,4580.0,B-
86Kr,836.37,0.00398,0.000111,4580.0,B-
86Kr,1338.0,0.00329,0.000184,4580.0,B-
86Kr,3308.5,0.00231,0.000133,4580.0,B-
86Kr,1531.2,0.0018,0.000301,4580.0,B-
86Kr,2811.4,0.00167,8.25e-05,4580.0,B-
86Kr,1382.55,0.00149,5.32e-05,4580.0,B-
86Kr,2408.5,0.0011799999999999998,0.000101,4580.0,B-
86Kr,814.25,0.0008500000000000001,3.17e-05,4580.0,B-
86Kr,946.69,0.00067,3.1100000000000004e-05,4580.0,B-
86Kr,1578.03,0.00067,5.07e-05,4580.0,B-
86Kr,1389.87,0.00062,3.09e-05,4580.0,B-
86Kr,1611.18,0.00054,8.03e-05,4580.0,B-
86Kr,2378.5,0.00049,3.0600000000000005e-05,4580.0,B-
86Kr,3055.1,0.00044,3.0500000000000003e-05,4580.0,B-
86Kr,2961.2,0.00035999999999999997,9.999999999999999e-05,4580.0,B-
86Kr,976.49,0.00029299999999999997,2.13e-05,4580.0,B-
86Kr,1461.3,0.00026,3.02e-05,4580.0,B-
86Kr,894.02,0.000234,1.5300000000000003e-05,4580.0,B-
86Kr,582.3,0.00017999999999999998,4.9999999999999996e-05,4580.0,B-
86Kr,2652.5,0.00012100000000000001,2.11e-05,4580.0,B-
87Rb,1836.0,7.14,0.0802,1070.0,B-
87Rb,898.03,4.68,0.0303,1070.0,B-
87Rb,2677.892,0.653,0.00902,1070.0,B-
87Rb,1382.45,0.248,0.009000000000000001,1070.0,B-
87Rb,2118.867,0.14100000000000001,0.006,1070.0,B-
87Rb,3009.52,0.081,0.003,1070.0,B-
87Rb,1779.87,0.07200000000000001,0.004,1070.0,B-
87Rb,3218.48,0.0714,0.0021,1070.0,B-
87Rb,2577.791,0.060000000000000005,0.003,1070.0,B-
87Rb,4742.42,0.0478,0.0021,1070.0,B-
87Rb,3486.47,0.0435,0.0014,1070.0,B-
87Rb,2111.5,0.039,0.004,1070.0,B-
87Rb,2734.086,0.036399999999999995,0.0021,1070.0,B-
87Rb,1366.26,0.034,0.004,1070.0,B-
87Rb,1798.35,0.020999999999999998,0.004,1070.0,B-
87Rb,338.95,0.02,0.0021,1070.0,B-
87Rb,1217.97,0.0171,0.0021,1070.0,B-
87Rb,1679.6,0.015000000000000001,0.003,1070.0,B-
87Rb,484.53,0.009300000000000001,0.0021,1070.0,B-
87Rb,2388.0,0.009000000000000001,0.003,1070.0,B-
87Rb,891.3,0.0069,0.0014,1070.0,B-
87Rb,439.2,0.0048,0.0011,1070.0,B-
87Rb,1687.3,0.0036,0.0021,1070.0,B-
87Rb,4035.5,0.0036,0.0007,1070.0,B-
87Rb,1027.3,0.0036,0.0014,1070.0,B-
87Rb,4852.882,0.003,0.00039999999999999996,1070.0,B-
87Rb,1627.0,0.0029000000000000002,0.0006,1070.0,B-
87Rb,3524.0,0.0021,0.0014,1070.0,B-
87Rb,3017.19,0.0014,0.0007,1070.0,B-
87Rb,416.2,0.0012,0.00039999999999999996,1070.0,B-
89Y,202.53,1.8,0.5,11500.0,IT
89Y,479.6,1.6,0.5,11500.0,IT
93Nb,871.06,3.9,0.08,376.0,B-
93Nb,40.887,0.574,0.01,376.0,IT
96Zr,743.36,1.01,0.0589,60300.0,B-
96Zr,507.64,0.054400000000000004,0.00261,60300.0,B-
96Zr,1147.97,0.028399999999999998,0.00149,60300.0,B-
96Zr,355.4,0.022600000000000002,0.00122,60300.0,B-
96Zr,602.37,0.0149,0.0009220000000000001,60300.0,B-
96Zr,254.17,0.0123,0.000885,60300.0,B-
96Zr,1750.24,0.0118,0.00125,60300.0,B-
96Zr,1362.68,0.0111,0.00125,60300.0,B-
96Zr,1021.2,0.011,0.00193,60300.0,B-
96Zr,703.76,0.011,0.0006039999999999999,60300.0,B-
96Zr,1276.07,0.0101,0.000766,60300.0,B-
96Zr,513.41,0.0059,0.000532,60300.0,B-
96Zr,854.89,0.00387,0.000268,60300.0,B-
96Zr,1851.61,0.0033,0.000317,60300.0,B-
96Zr,971.34,0.00301,0.000211,60300.0,B-
96Zr,400.42,0.00265,0.000189,60300.0,B-
96Zr,829.79,0.00258,0.000206,60300.0,B-
96Zr,272.4,0.0025,0.00031,60300.0,B-
96Zr,600.6,0.002,6.159999999999999e-05,60300.0,B-
96Zr,690.52,0.00199,0.00019999999999999998,60300.0,B-
96Zr,218.9,0.00181,0.00020800000000000001,60300.0,B-
96Zr,330.43,0.00155,0.00017700000000000002,60300.0,B-
96Zr,699.2,0.00108,0.000223,60300.0,B-
96Zr,473.5,0.0007999999999999999,0.000401,60300.0,B-
96Zr,297.2,0.00071,0.00012200000000000001,60300.0,B-
96Zr,111.6,0.00071,0.000102,60300.0,B-
96Zr,182.9,0.00033999999999999997,7.08e-05,60300.0,B-
96Zr,707.4,0.00033999999999999997,0.00019,60300.0,B-
96Zr,202.5,0.00032,8.06e-05,60300.0,B-
96Zr,305.1,0.0003,0.00019999999999999998,60300.0,B-
96Zr,558.0,0.0003,0.00019999999999999998,60300.0,B-
98Mo,140.511,27.599999999999998,0.6859999999999999,237000.0,B-
98Mo,739.5,4.05,0.0632,237000.0,B-
98Mo,181.068,2.0,0.034,237000.0,B-
98Mo,777.921,1.42,0.0242,237000.0,B-
98Mo,366.421,0.397,0.0069299999999999995,237000.0,B-
98Mo,40.584,0.35100000000000003,0.0118,237000.0,B-
98Mo,822.972,0.0445,0.000883,237000.0,B-
98Mo,960.754,0.0315,0.000797,237000.0,B-
98Mo,528.788,0.0191,0.000737,237000.0,B-
98Mo,158.782,0.00631,0.000252,237000.0,B-
98Mo,621.771,0.0061,0.0013,237000.0,B-
98Mo,411.491,0.00486,0.00020800000000000001,237000.0,B-
98Mo,162.37,0.0039700000000000004,0.000206,237000.0,B-
98Mo,380.13,0.0035,0.000303,237000.0,B-
98Mo,457.6,0.0027099999999999997,0.000203,237000.0,B-
98Mo,861.2,0.0024,0.0013,237000.0,B-
98Mo,1001.343,0.00182,0.000171,237000.0,B-
98Mo,249.03,0.0013,0.000171,237000.0,B-
98Mo,537.79,0.00109,0.00019999999999999998,237000.0,B-
98Mo,391.7,0.00106,0.00019999999999999998,237000.0,B-
98Mo,580.51,0.00106,0.00016999999999999999,237000.0,B-
98Mo,469.63,0.00089,0.00016999999999999999,237000.0,B-
98Mo,242.29,0.0008500000000000001,0.00016999999999999999,237000.0,B-
98Mo,620.03,0.0007999999999999999,0.0003,237000.0,B-
98Mo,410.27,0.00065,0.00013,237000.0,B-
98Mo,986.44,0.00047999999999999996,0.00016999999999999999,237000.0,B-
98Mo,1056.2,0.00035999999999999997,3.03e-05,237000.0,B-
98Mo,1017.0,0.00019999999999999998,7.000000000000001e-05,237000.0,B-
98Mo,689.6,0.00015,5.9999999999999995e-05,237000.0,B-
98Mo,761.77,0.000134,1.31e-05,237000.0,B-
100Mo,590.1,3.8,0.193,877.0,B-
100Mo,191.92,3.6,0.08670000000000001,877.0,B-
100Mo,1012.47,2.5799999999999996,0.14400000000000002,877.0,B-
100Mo,505.92,2.3,0.0746,877.0,B-
100Mo,695.56,1.32,0.043699999999999996,877.0,B-
100Mo,2032.1,1.31,0.050899999999999994,877.0,B-
100Mo,1532.49,1.21,0.049499999999999995,877.0,B-
100Mo,1251.1,0.93,0.0374,877.0,B-
100Mo,934.21,0.8099999999999999,0.0537,877.0,B-
100Mo,1160.98,0.7969999999999999,0.0315,877.0,B-
100Mo,80.92,0.739,0.0283,877.0,B-
100Mo,713.04,0.66,0.034,877.0,B-
100Mo,877.39,0.64,0.0429,877.0,B-
100Mo,195.93,0.5479999999999999,0.0192,877.0,B-
100Mo,1304.0,0.537,0.0191,877.0,B-
100Mo,2041.24,0.425,0.0173,877.0,B-
100Mo,9.317,0.42000000000000004,0.0101,877.0,B-
100Mo,1199.94,0.355,0.013900000000000001,877.0,B-
100Mo,1599.26,0.34600000000000003,0.0163,877.0,B-
100Mo,871.08,0.339,0.0162,877.0,B-
100Mo,1355.89,0.335,0.0162,877.0,B-
100Mo,1673.91,0.332,0.0161,877.0,B-
100Mo,408.69,0.303,0.0132,877.0,B-
100Mo,512.83,0.27799999999999997,0.0192,877.0,B-
100Mo,1840.24,0.27799999999999997,0.0192,877.0,B-
100Mo,499.65,0.27599999999999997,0.0112,877.0,B-
100Mo,642.71,0.24000000000000002,0.0107,877.0,B-
100Mo,1382.71,0.224,0.00884,877.0,B-
100Mo,590.1,0.22,0.022600000000000002,877.0,B-
100Mo,608.34,0.202,0.00852,877.0,B-
100Mo,1186.76,0.2,0.009340000000000001,877.0,B-
100Mo,1759.72,0.199,0.0102,877.0,B-
100Mo,778.29,0.193,0.00925,877.0,B-
100Mo,804.29,0.19,0.009219999999999999,877.0,B-
100Mo,1346.09,0.187,0.00918,877.0,B-
100Mo,1011.05,0.177,0.0146,877.0,B-
100Mo,1418.56,0.177,0.008199999999999999,877.0,B-
100Mo,398.84,0.171,0.00648,877.0,B-
100Mo,566.62,0.162,0.00801,877.0,B-
100Mo,515.42,0.16,0.00713,877.0,B-
100Mo,514.1,0.16,0.00713,877.0,B-
100Mo,1018.58,0.14400000000000002,0.00781,877.0,B-
100Mo,333.61,0.14100000000000001,0.00689,877.0,B-
100Mo,1662.49,0.13799999999999998,0.00417,877.0,B-
100Mo,448.6,0.133,0.0068000000000000005,877.0,B-
100Mo,883.39,0.128,0.00675,877.0,B-
100Mo,1394.86,0.124,0.0058200000000000005,877.0,B-
100Mo,933.3,0.11900000000000001,0.011399999999999999,877.0,B-
100Mo,2114.34,0.114,0.005699999999999999,877.0,B-
100Mo,421.67,0.108,0.00841,877.0,B-
100Mo,1414.2,0.098,0.00553,877.0,B-
100Mo,211.98,0.09000000000000001,0.00545,877.0,B-
100Mo,533.57,0.079,0.00443,877.0,B-
100Mo,1020.0,0.076,0.0035099999999999997,877.0,B-
100Mo,1754.9,0.074,0.00349,877.0,B-
100Mo,505.05,0.07200000000000001,0.007209999999999999,877.0,B-
100Mo,1431.68,0.0717,0.00304,877.0,B-
100Mo,701.8,0.07100000000000001,0.00435,877.0,B-
100Mo,1049.8,0.06899999999999999,0.00433,877.0,B-
100Mo,381.12,0.063,0.00428,877.0,B-
100Mo,378.99,0.061,0.00334,877.0,B-
100Mo,739.54,0.059,0.00332,877.0,B-
100Mo,869.7,0.057,0.00423,877.0,B-
100Mo,1523.0,0.0555,0.00283,877.0,B-
100Mo,1325.65,0.055,0.00712,877.0,B-
100Mo,1064.59,0.054,0.00327,877.0,B-
100Mo,1589.67,0.0537,0.00255,877.0,B-
100Mo,732.98,0.053,0.0032600000000000003,877.0,B-
100Mo,510.21,0.049,0.0070999999999999995,877.0,B-
100Mo,1377.95,0.0472,0.00275,877.0,B-
100Mo,888.7,0.047,0.00321,877.0,B-
100Mo,1249.4,0.046,0.0031999999999999997,877.0,B-
100Mo,318.0,0.045399999999999996,0.0024600000000000004,877.0,B-
100Mo,1520.4,0.045000000000000005,0.0061,877.0,B-
100Mo,660.64,0.0443,0.00245,877.0,B-
100Mo,1169.23,0.044,0.00318,877.0,B-
100Mo,903.55,0.043300000000000005,0.00243,877.0,B-
100Mo,1517.8,0.043000000000000003,0.00317,877.0,B-
100Mo,1314.28,0.0422,0.0024200000000000003,877.0,B-
100Mo,1293.29,0.0418,0.00206,877.0,B-
100Mo,327.7,0.0415,0.00206,877.0,B-
100Mo,2038.4,0.041,0.0051,877.0,B-
100Mo,1712.93,0.0393,0.00239,877.0,B-
100Mo,887.0,0.0371,0.00265,877.0,B-
100Mo,815.29,0.037,0.0050799999999999994,877.0,B-
100Mo,1184.19,0.0361,0.00265,877.0,B-
100Mo,571.62,0.034999999999999996,0.0023599999999999997,877.0,B-
100Mo,988.05,0.034999999999999996,0.0023599999999999997,877.0,B-
100Mo,1514.1,0.034999999999999996,0.0023599999999999997,877.0,B-
100Mo,895.89,0.0342,0.00235,877.0,B-
100Mo,1007.4,0.034,0.00311,877.0,B-
100Mo,523.83,0.0314,0.00195,877.0,B-
100Mo,377.9,0.031,0.008029999999999999,877.0,B-
100Mo,1065.9,0.031,0.00232,877.0,B-
100Mo,371.6,0.0303,0.0026,877.0,B-
100Mo,1336.4,0.0303,0.0015799999999999998,877.0,B-
100Mo,1440.84,0.0299,0.00194,877.0,B-
100Mo,1548.68,0.0296,0.00231,877.0,B-
100Mo,1260.21,0.0292,0.0026,877.0,B-
100Mo,497.0,0.029,0.0030800000000000003,877.0,B-
100Mo,1530.3,0.029,0.011,877.0,B-
100Mo,1768.22,0.0281,0.0019199999999999998,877.0,B-
100Mo,352.97,0.027800000000000002,0.0019199999999999998,877.0,B-
100Mo,1209.92,0.026,0.00229,877.0,B-
100Mo,611.6,0.026,0.00405,877.0,B-
100Mo,859.13,0.0245,0.00189,877.0,B-
100Mo,370.0,0.023,0.00305,877.0,B-
100Mo,1380.4,0.022699999999999998,0.00227,877.0,B-
100Mo,1290.7,0.0224,0.0015,877.0,B-
100Mo,943.98,0.0213,0.00226,877.0,B-
100Mo,775.8,0.020999999999999998,0.004030000000000001,877.0,B-
100Mo,347.56,0.0202,0.0018599999999999999,877.0,B-
100Mo,1485.9,0.0198,0.0012,877.0,B-
100Mo,221.8,0.0195,0.00148,877.0,B-
100Mo,728.19,0.0195,0.0018599999999999999,877.0,B-
100Mo,1526.6,0.0195,0.0018599999999999999,877.0,B-
100Mo,368.4,0.019,0.0030299999999999997,877.0,B-
100Mo,540.1,0.0187,0.0025399999999999997,877.0,B-
100Mo,602.98,0.0184,0.00185,877.0,B-
100Mo,625.3,0.018000000000000002,0.0025399999999999997,877.0,B-
100Mo,2047.31,0.0177,0.00146,877.0,B-
100Mo,1609.2,0.0177,0.00146,877.0,B-
100Mo,1308.13,0.0173,0.00185,877.0,B-
100Mo,274.97,0.016900000000000002,0.00185,877.0,B-
100Mo,1882.26,0.016900000000000002,0.00117,877.0,B-
100Mo,1583.1,0.0162,0.0014500000000000001,877.0,B-
100Mo,1435.1,0.0162,0.0014500000000000001,877.0,B-
100Mo,582.9,0.0159,0.00253,877.0,B-
100Mo,1946.54,0.0159,0.00116,877.0,B-
100Mo,1646.4,0.0155,0.0014500000000000001,877.0,B-
100Mo,452.5,0.015099999999999999,0.00116,877.0,B-
100Mo,1653.3,0.015099999999999999,0.00116,877.0,B-
100Mo,847.24,0.0148,0.00183,877.0,B-
100Mo,1387.6,0.0144,0.00115,877.0,B-
100Mo,606.8,0.014,0.00401,877.0,B-
100Mo,1030.1,0.013699999999999999,0.0014399999999999999,877.0,B-
100Mo,560.3,0.013699999999999999,0.0014399999999999999,877.0,B-
100Mo,798.0,0.013699999999999999,0.00183,877.0,B-
100Mo,491.5,0.0133,0.00115,877.0,B-
100Mo,686.0,0.0133,0.00115,877.0,B-
100Mo,2024.4,0.0133,0.0014399999999999999,877.0,B-
100Mo,707.8,0.0126,0.00252,877.0,B-
100Mo,1451.1,0.0126,0.00143,877.0,B-
100Mo,1615.0,0.0112,0.00113,877.0,B-
100Mo,1218.0,0.0112,0.00143,877.0,B-
100Mo,894.4,0.011,0.0050100000000000006,877.0,B-
100Mo,1941.8,0.0108,0.00113,877.0,B-
100Mo,442.0,0.010499999999999999,0.00142,877.0,B-
100Mo,1921.4,0.010499999999999999,0.00142,877.0,B-
100Mo,1629.4,0.0097,0.0011200000000000001,877.0,B-
100Mo,1507.0,0.0097,0.00251,877.0,B-
100Mo,1350.8,0.0097,0.0011200000000000001,877.0,B-
100Mo,675.9,0.009000000000000001,0.00142,877.0,B-
100Mo,358.2,0.0087,0.00181,877.0,B-
100Mo,1888.3,0.0087,0.00142,877.0,B-
100Mo,1605.3,0.0083,0.0011200000000000001,877.0,B-
100Mo,737.3,0.0068000000000000005,0.00141,877.0,B-
100Mo,1722.1,0.0065,0.00181,877.0,B-
100Mo,1310.7,0.0061,0.00141,877.0,B-
100Mo,115.76,0.0058000000000000005,0.000714,877.0,B-
100Mo,652.7,0.0054,0.0018,877.0,B-
100Mo,650.9,0.005,0.0011099999999999999,877.0,B-
100Mo,1594.8,0.0043,0.0011,877.0,B-
102Ru,210.519,33.0,3.0100000000000002,0.00169,IT
102Ru,213.4,2.6,0.6,0.00169,IT
103Rh,51.5,5200.0,300.0,260.0,IT
103Rh,555.81,3140.0,90.0,42.3,B-
103Rh,97.14,310.0,30.0,260.0,IT
103Rh,77.533,201.0,17.0,260.0,IT
103Rh,1237.05,104.0,9.0,42.3,B-
103Rh,767.1,18.0,0.0,42.3,B-
103Rh,1238.02,16.0,0.0,42.3,B-
103Rh,777.77,9.700000000000001,0.9,42.3,B-
103Rh,451.16,9.700000000000001,0.9,42.3,B-
103Rh,785.88,5.7,0.6,42.3,B-
103Rh,460.5,5.7,0.0,42.3,B-
103Rh,479.1,4.7,0.0,42.3,B-
103Rh,1341.67,4.4,0.6,42.3,B-
103Rh,488.5,4.4,0.0,42.3,B-
103Rh,497.8,3.5,0.0,42.3,B-
103Rh,1793.83,1.6,0.19,42.3,B-
103Rh,1689.1,0.69,0.19,42.3,B-
103Rh,32.11,0.056,0.011,260.0,IT
104Ru,724.3,76.0,1.13,16000.0,B-
104Ru,469.37,28.1,0.903,16000.0,B-
104Ru,676.36,25.1,0.883,16000.0,B-
104Ru,316.44,17.8,0.656,16000.0,B-
104Ru,262.83,10.5,0.27799999999999997,16000.0,B-
104Ru,129.782,9.090000000000002,0.26699999999999996,16000.0,B-
104Ru,393.36,6.05,0.121,16000.0,B-
104Ru,875.85,4.01,0.161,16000.0,B-
104Ru,413.53,3.6,0.404,16000.0,B-
104Ru,969.44,3.37,0.121,16000.0,B-
104Ru,499.3,3.3,0.502,16000.0,B-
104Ru,656.21,3.3,0.502,16000.0,B-
104Ru,149.1,2.8,0.303,16000.0,B-
104Ru,326.14,1.7,0.192,16000.0,B-
104Ru,350.18,1.63,0.192,16000.0,B-
104Ru,575.07,1.36,0.15100000000000002,16000.0,B-
104Ru,330.85,1.07,0.121,16000.0,B-
104Ru,845.91,1.01,0.111,16000.0,B-
104Ru,500.1,0.8899999999999999,0.121,16000.0,B-
104Ru,489.48,0.88,0.101,16000.0,B-
104Ru,907.64,0.85,0.0909,16000.0,B-
104Ru,878.2,0.76,0.0808,16000.0,B-
104Ru,1017.47,0.5199999999999999,0.0506,16000.0,B-
104Ru,652.7,0.49,0.0505,16000.0,B-
104Ru,349.96,0.462,0.024,16000.0,B-
104Ru,638.66,0.36000000000000004,0.0404,16000.0,B-
104Ru,821.98,0.34,0.0702,16000.0,B-
104Ru,513.73,0.33,0.0802,16000.0,B-
