Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
55Mn,2598.4,2.5,0.3,9280.0,B-
59Co,58.603,411.0,4.0,628.0,IT
59Co,1332.89,68.0,8.0,628.0,B-
59Co,826.28,2.2,0.0,628.0,B-
59Co,2158.77,0.2,0.0,628.0,B-
63Cu,1345.77,15.5,0.3,45700.0,EC
64Ni,1481.84,3.3,0.00367,9060.0,B-
64Ni,1115.53,2.19,0.0132,9060.0,B-
64Ni,366.27,0.68,0.00704,9060.0,B-
64Ni,1623.42,0.0706,0.002,9060.0,B-
64Ni,1724.92,0.0566,0.0018,9060.0,B-
64Ni,507.9,0.0414,0.000702,9060.0,B-
64Ni,609.5,0.022,0.0007,9060.0,B-
64Ni,770.6,0.0147,0.0011,9060.0,B-
64Ni,852.7,0.013600000000000001,0.0018,9060.0,B-
64Ni,954.5,0.00051,5.67e-07,9060.0,B-
65Cu,1038.97,59.8,1.3,307.0,B-
65Cu,833.52,1.3,0.3,307.0,B-
65Cu,1332.5,0.023,0.002,307.0,B-
68Zn,438.634,12.8,0.48000000000000004,49500.0,IT
68Zn,573.9,0.0042,0.000409,49500.0,B-
68Zn,318.4,0.0026,0.000404,3380.0,B-
68Zn,871.7,0.00055,0.00017999999999999998,3380.0,B-
69Ga,1039.2,7.0,1.0,1270.0,B-
69Ga,176.17,3.0,0.8,1270.0,B-
70Ge,175.05,78.0,5.0,0.0204,IT
70Ge,23.438,0.4,0.025,0.0204,IT
70Zn,511.6,0.16,0.00795,147.0,B-
70Zn,910.3,0.04,0.0036,147.0,B-
70Zn,487.34,0.0334,0.0022400000000000002,14300.0,B-
70Zn,620.19,0.0304,0.00213,14300.0,B-
70Zn,390.0,0.019700000000000002,0.00188,147.0,B-
70Zn,121.52,0.0153,0.00168,147.0,B-
70Zn,511.55,0.0152,0.00125,14300.0,B-
70Zn,596.07,0.015000000000000001,0.00125,14300.0,B-
70Zn,1120.0,0.0112,0.0012300000000000002,147.0,B-
70Zn,666.8,0.0046,0.00055,147.0,B-
70Zn,964.8,0.0039,0.000357,147.0,B-
70Zn,398.6,0.0031,0.000337,147.0,B-
70Zn,142.6,0.003,0.000335,14300.0,B-
70Zn,721.4,0.0028,0.00033099999999999997,147.0,B-
70Zn,964.7,0.00229,0.000275,14300.0,B-
70Zn,1631.6,0.0019700000000000004,0.000188,147.0,B-
70Zn,753.41,0.00175,0.000173,14300.0,B-
70Zn,121.48,0.00155,0.000169,14300.0,B-
70Zn,389.87,0.0014,0.000165,14300.0,B-
70Zn,1107.4,0.0011,0.00016,14300.0,B-
70Zn,771.26,0.0011,0.000114,14300.0,B-
70Zn,453.1,0.0009,0.00011,147.0,B-
70Zn,1904.4,0.00087,9.09e-05,147.0,B-
70Zn,1109.3,0.00084,0.000137,147.0,B-
70Zn,988.6,0.00065,5.9499999999999996e-05,14300.0,B-
70Zn,487.3,0.00061,7.63e-05,147.0,B-
70Zn,453.08,0.0006,5.82e-05,14300.0,B-
70Zn,1759.6,0.0005,5.5799999999999994e-05,14300.0,B-
70Zn,520.5,0.00041,3.63e-05,147.0,B-
70Zn,1144.2,0.00041,5.4e-05,147.0,B-
70Zn,1006.5,0.00039999999999999996,0.000102,14300.0,B-
70Zn,1107.0,0.00039999999999999996,0.000201,14300.0,B-
70Zn,1011.4,0.00035999999999999997,4.38e-05,14300.0,B-
70Zn,1476.0,0.00032,3.4e-05,14300.0,B-
70Zn,964.6,0.00025,0.00015099999999999998,14300.0,B-
70Zn,2064.6,0.00023,3.21e-05,147.0,B-
70Zn,423.2,0.000197,1.88e-05,147.0,B-
70Zn,1380.8,0.000194,2.22e-05,14300.0,B-
70Zn,974.7,0.000189,2.21e-05,14300.0,B-
70Zn,1383.8,0.00018099999999999998,1.84e-05,147.0,B-
70Zn,910.1,0.000165,1.7100000000000002e-05,14300.0,B-
70Zn,1241.5,0.000164,1.8e-05,147.0,B-
70Zn,575.1,0.000148,1.7599999999999998e-05,147.0,B-
70Zn,1282.7,0.000145,1.66e-05,14300.0,B-
70Zn,1553.0,0.00013099999999999999,1.73e-05,147.0,B-
70Zn,2294.8,0.00013099999999999999,1.73e-05,147.0,B-
70Zn,1322.2,0.000125,1.62e-05,14300.0,B-
70Zn,1139.8,0.00011,1.6000000000000003e-05,14300.0,B-
70Zn,566.2,0.000105,1.13e-05,14300.0,B-
70Zn,956.7,0.000105,1.13e-05,14300.0,B-
70Zn,574.9,5.9999999999999995e-05,5.82e-06,14300.0,B-
70Zn,1306.7,5.9999999999999995e-05,5.82e-06,14300.0,B-
70Zn,1311.4,5.5e-05,5.7e-06,14300.0,B-
70Zn,1395.2,4.4999999999999996e-05,5.48e-06,14300.0,B-
70Zn,1708.2,4.4999999999999996e-05,5.48e-06,14300.0,B-
70Zn,2317.7,3.5000000000000004e-05,5.289999999999999e-06,14300.0,B-
70Zn,98.5,3.2999999999999996e-05,4.32e-06,14300.0,B-
70Zn,1244.2,3.2999999999999996e-05,5.26e-06,14300.0,B-
70Zn,588.6,2.69e-05,2.83e-06,14300.0,B-
70Zn,528.6,2.4999999999999998e-05,1.01e-05,14300.0,B-
70Zn,1485.8,2.4900000000000002e-05,2.79e-06,14300.0,B-
70Zn,1840.0,2.4900000000000002e-05,2.79e-06,14300.0,B-
70Zn,1343.7,2.4e-05,3.23e-06,14300.0,B-
70Zn,1085.3,2.2e-05,4.15e-06,14300.0,B-
70Zn,1719.2,2e-05,5.1e-06,14300.0,B-
70Zn,994.6,1.6000000000000003e-05,2.1499999999999997e-06,14300.0,B-
70Zn,1232.8,1.4999999999999999e-05,2.13e-06,14300.0,B-
70Zn,1208.0,1.15e-05,2.08e-06,14300.0,B-
70Zn,1226.5,9.97e-06,5.18e-07,14300.0,B-
70Zn,1612.2,6.5000000000000004e-06,1.5300000000000002e-06,14300.0,B-
70Zn,1190.6,6e-06,1.5300000000000002e-06,14300.0,B-
70Zn,951.8,5.5e-06,5.7e-07,14300.0,B-
70Zn,1339.7,5.5e-06,1.04e-06,14300.0,B-
70Zn,1409.1,3.5e-06,1.02e-06,14300.0,B-
70Zn,1963.8,3e-06,5.219999999999999e-07,14300.0,B-
70Zn,2489.4,2.5e-06,5.149999999999999e-07,14300.0,B-
70Zn,1697.6,2.5e-06,5.149999999999999e-07,14300.0,B-
70Zn,1905.2,2.4e-06,3.23e-07,14300.0,B-
70Zn,2000.9,2.0000000000000003e-06,5.1e-07,14300.0,B-
71Ga,834.08,1650.0,50.0,50800.0,B-
71Ga,2201.91,520.0,40.0,50800.0,B-
71Ga,629.96,490.0,22.0,50800.0,B-
71Ga,601.21,471.0,22.0,50800.0,B-
71Ga,894.91,350.0,30.0,50800.0,B-
71Ga,2507.4,280.0,40.0,50800.0,B-
71Ga,2491.6,170.0,40.0,50800.0,B-
71Ga,786.17,160.0,22.0,50800.0,B-
71Ga,3034.6,150.0,30.0,50800.0,B-
71Ga,1050.69,119.0,13.0,50800.0,B-
71Ga,1861.09,90.39999999999999,1.9,50800.0,B-
71Ga,1596.68,73.2,1.6,50800.0,B-
71Ga,1464.0,60.900000000000006,1.9,50800.0,B-
71Ga,103.25,52.6,1.1,0.0397,IT
71Ga,810.2,34.5,0.9,50800.0,B-
71Ga,1276.76,28.0,3.0,50800.0,B-
71Ga,1230.86,25.1,2.5,50800.0,B-
71Ga,1260.1,19.5,1.9,50800.0,B-
71Ga,970.55,19.2,1.9,50800.0,B-
71Ga,2109.5,17.9,1.9,50800.0,B-
71Ga,861.11,15.7,1.6,50800.0,B-
71Ga,1680.77,15.4,1.6,50800.0,B-
71Ga,1571.6,14.1,1.3,50800.0,B-
71Ga,999.86,13.799999999999999,1.3,50800.0,B-
71Ga,1215.15,13.5,1.3,50800.0,B-
71Ga,16.43,12.5,0.3,0.0397,IT
71Ga,2844.0,7.5,0.6,50800.0,B-
71Ga,1710.9,6.6,0.6,50800.0,B-
71Ga,735.75,6.3,0.6,50800.0,B-
71Ga,1568.1,4.7,0.6,50800.0,B-
71Ga,381.24,4.7,0.3,50800.0,B-
71Ga,939.36,4.460000000000001,0.12999999999999998,50800.0,B-
71Ga,2515.0,4.4,0.3,50800.0,B-
71Ga,1877.9,4.1000000000000005,0.3,50800.0,B-
71Ga,1837.6,3.8,0.3,50800.0,B-
71Ga,428.42,3.5,0.3,50800.0,B-
71Ga,289.31,3.1,0.3,50800.0,B-
71Ga,2214.3,3.1,0.3,50800.0,B-
71Ga,1920.2,2.7,0.3,50800.0,B-
71Ga,924.22,2.4499999999999997,0.25,50800.0,B-
71Ga,2621.06,2.26,0.22,50800.0,B-
71Ga,2029.4,2.14,0.22,50800.0,B-
71Ga,587.44,2.1,0.22,50800.0,B-
71Ga,1991.3,1.9200000000000002,0.19,50800.0,B-
71Ga,336.63,1.85,0.19,50800.0,B-
71Ga,449.55,1.6,0.16,50800.0,B-
71Ga,479.23,1.57,0.16,50800.0,B-
71Ga,1390.42,1.48,0.16,50800.0,B-
71Ga,938.4,1.32,0.12999999999999998,50800.0,B-
71Ga,1163.12,1.2899999999999998,0.12999999999999998,50800.0,B-
71Ga,878.32,1.26,0.12999999999999998,50800.0,B-
71Ga,495.88,0.9700000000000001,0.09000000000000001,50800.0,B-
