Isotope,Energy (keV),Sigma (mb),DSigma (mb)
49Ti,2932.79,0.69,0.060000000000000005
49Ti,1636.43,0.63,0.030000000000000002
49Ti,3707.02,0.6,0.4
49Ti,3825.988,0.58,0.04
49Ti,1852.04,0.57,0.18000000000000002
49Ti,5244.02,0.57,0.030000000000000002
49Ti,4559.1,0.5599999999999999,0.04
49Ti,6148.82,0.55,0.030000000000000002
49Ti,4054.73,0.54,0.04
49Ti,2658.52,0.5199999999999999,0.06999999999999999
49Ti,2866.94,0.46,0.05
49Ti,5928.74,0.44,0.030000000000000002
49Ti,3131.6,0.41,0.05
49Ti,2719.3,0.39,0.05
49Ti,5283.55,0.381,0.025
49Ti,2349.05,0.38,0.08
49Ti,760.356,0.35,0.030000000000000002
49Ti,2129.75,0.32,0.1
49Ti,4539.13,0.31,0.025
49Ti,4309.66,0.27,0.05
49Ti,6452.06,0.25999999999999995,0.04
49Ti,1731.43,0.25,0.060000000000000005
49Ti,2924.34,0.23,0.05
49Ti,733.485,0.223,0.02
49Ti,1156.51,0.21000000000000002,0.030000000000000002
49Ti,3860.13,0.21000000000000002,0.030000000000000002
49Ti,4845.78,0.20900000000000002,0.023
49Ti,5132.26,0.20900000000000002,0.020999999999999998
49Ti,4602.45,0.208,0.023
49Ti,5677.87,0.17200000000000001,0.022
49Ti,2701.77,0.17,0.05
49Ti,3448.07,0.15,0.030000000000000002
49Ti,4403.75,0.15,0.030000000000000002
49Ti,3909.8,0.15,0.030000000000000002
49Ti,4782.47,0.146,0.022
49Ti,4789.73,0.13999999999999999,0.05
49Ti,3181.05,0.13999999999999999,0.04
49Ti,3724.74,0.13999999999999999,0.030000000000000002
49Ti,5524.77,0.131,0.025
49Ti,1457.68,0.127,0.024
49Ti,4486.47,0.11,0.05
49Ti,3650.22,0.11,0.030000000000000002
50Cr,749.09,569.0,9.0
50Cr,8510.77,233.0,8.0
50Cr,8482.8,169.0,7.0
50Cr,27.97,124.0,4.0
50Cr,7361.12,92.0,4.0
50Cr,1898.9,85.2,2.1
50Cr,6134.58,78.0,4.0
50Cr,2376.49,36.2,0.9
50V,1609.22,35.9,1.7
50Cr,6370.15,28.0,17.0
50Cr,5489.85,24.0,4.0
50Cr,1149.83,21.4,0.4
50Cr,2001.05,19.900000000000002,1.0
50Cr,5220.72,18.4,1.7
50Cr,2348.52,16.400000000000002,1.0
50Cr,5493.99,16.0,3.0
50Cr,888.95,15.0,5.0
50Cr,3021.27,13.899999999999999,0.8
50Cr,3262.44,12.5,0.9
50Cr,1536.96,11.799999999999999,0.6
50Cr,603.97,9.4,0.4
50Cr,3017.12,9.1,0.7
50V,1776.344,9.0,2.0
50Cr,1124.54,9.0,3.0
50V,1090.397,8.6,0.8
50Cr,2989.15,8.1,0.9
50Cr,3512.4,7.8,1.0
50Cr,4490.87,7.8,0.9
50Cr,3859.08,7.7,1.0
50Cr,4624.1,7.4,0.9
50V,1813.214,7.3,0.8
50Cr,3592.77,7.2,0.6
50Cr,2112.93,6.5,0.7
50Cr,1124.45,6.4,0.4
50Cr,1353.05,6.1000000000000005,0.5
50Cr,2012.55,5.6,0.6
50Cr,3290.41,5.2,0.9
50Cr,991.1,5.0,4.0
50V,2004.791,4.8,1.1
50Cr,4020.28,4.8,1.0
50V,7664.899,4.4,0.3
50Ti,1166.6,3.9,0.0
50V,320.09,3.6,0.23
50V,1174.06,3.5,0.8
50V,7436.479,3.35,0.19
50Ti,5205.8,3.3,0.0
50Cr,4970.8,3.0,0.8
50Ti,3466.6,2.7,0.0
50Cr,3207.7,2.7,0.5
50Cr,2278.47,2.6,0.4
50Cr,2079.3,2.5,0.5
50Cr,2140.9,2.5,0.8
50V,7176.87,2.4,0.3
50V,1493.13,2.3,0.3
50V,9440.956,2.2,0.3
50Cr,834.2,2.2,0.6
50Ti,4173.6,2.0,0.0
50Cr,575.98,2.0,0.3
50Cr,827.3,2.0,0.6
50V,2514.77,1.9,0.3
50Cr,4056.3,1.9,0.6
50Cr,4833.3,1.8,0.4
50Cr,4890.4,1.8,0.4
50Cr,3899.8,1.8,0.5
50V,2293.057,1.6700000000000002,0.24000000000000002
50V,3377.55,1.66,0.18000000000000002
50Cr,1164.82,1.6199999999999999,0.21000000000000002
50Ti,2198.9,1.6,0.0
50V,7148.24,1.52,0.17
50Cr,2598.9,1.5,0.6
50Cr,845.3,1.5,0.3
50Cr,6204.63,1.5,0.4
50V,1800.799,1.4,0.3
50V,7131.13,1.4,0.16
50Cr,5206.5,1.4,0.4
50V,6926.55,1.39,0.15
50V,6603.99,1.27,0.13999999999999999
50V,9236.996,1.22,0.15
50Cr,913.96,1.2,0.4
50Cr,1807.9,1.2,0.4
50Cr,3277.0,1.1,0.4
50V,2334.05,1.06,0.15
50V,832.605,1.02,0.23
50V,5862.31,1.02,0.11
50Cr,929.5,1.0,0.4
50Cr,3283.12,1.0,0.7
50Cr,1003.22,1.0,0.4
50V,3599.24,0.94,0.1
50Ti,1738.9,0.9,0.0
50Ti,3197.3,0.9,0.0
50V,7672.85,0.9,0.06999999999999999
50Cr,1106.8,0.9,0.3
50V,1785.73,0.86,0.2
50V,6825.8,0.86,0.1
50V,8350.751,0.82,0.060000000000000005
50Ti,3174.5,0.8,0.0
50V,2089.066,0.8,0.11
50V,5717.53,0.78,0.09000000000000001
50V,1581.73,0.7699999999999999,0.15
50V,5422.14,0.76,0.08
50Cr,6431.8,0.7,0.4
50V,5794.78,0.69,0.08
50V,2130.059,0.64,0.09000000000000001
50V,2411.54,0.63,0.09000000000000001
50Ti,707.8,0.6,0.0
50Cr,2052.7,0.6,0.3
50V,2615.53,0.5900000000000001,0.08
50V,1802.81,0.5900000000000001,0.13999999999999999
50V,3516.84,0.54,0.060000000000000005
50V,3919.31,0.51,0.060000000000000005
50V,4002.42,0.51,0.060000000000000005
50Ti,1567.5,0.5,0.0
50Ti,630.7,0.5,0.0
50Ti,2904.2,0.5,0.0
50Cr,2159.0,0.5,0.3
50Cr,862.3,0.5,0.3
50Cr,3305.1,0.5,0.3
50V,2556.29,0.47,0.060000000000000005
50V,5937.45,0.45,0.05
50V,5201.08,0.44,0.05
50V,2837.36,0.43,0.060000000000000005
50V,6490.1,0.43,0.05
50V,4936.7,0.42000000000000004,0.05
50V,5842.25,0.42000000000000004,0.05
50V,2106.18,0.41,0.060000000000000005
50Ti,6373.1,0.4,0.0
50V,6556.78,0.39,0.04
50V,488.104,0.36000000000000004,0.08
50V,1245.09,0.36000000000000004,0.08
50V,934.57,0.36000000000000004,0.08
50V,4786.4,0.36000000000000004,0.04
50V,2951.26,0.35,0.05
50V,2310.51,0.34,0.05
50V,5647.07,0.34,0.04
50V,7107.26,0.33,0.04
50V,3395.17,0.32,0.030000000000000002
50V,6156.47,0.32,0.04
50V,2243.01,0.31,0.030000000000000002
50V,5137.33,0.31,0.04
50Ti,1031.3,0.3,0.0
50V,2413.61,0.3,0.04
50V,2884.573,0.29,0.04
50V,2488.74,0.29,0.04
50V,3519.89,0.28400000000000003,0.022
50V,685.963,0.27999999999999997,0.060000000000000005
50V,1061.06,0.27999999999999997,0.06999999999999999
50V,4657.16,0.27999999999999997,0.030000000000000002
50V,4991.57,0.27999999999999997,0.030000000000000002
50V,1794.22,0.27,0.060000000000000005
50V,5242.8,0.25999999999999995,0.030000000000000002
50V,2194.32,0.25,0.04
50V,3284.91,0.25,0.030000000000000002
50V,1870.35,0.25,0.05
50V,5233.07,0.25,0.030000000000000002
50V,1990.33,0.24000000000000002,0.060000000000000005
50V,4613.14,0.24000000000000002,0.030000000000000002
50V,4753.7,0.23,0.030000000000000002
50V,4123.9,0.224,0.025
50V,1938.22,0.22,0.05
50V,3206.58,0.21800000000000003,0.014
50V,5102.29,0.216,0.024
50V,3057.48,0.215,0.024
50V,620.17,0.21000000000000002,0.05
50V,3052.05,0.207,0.023
50V,3716.03,0.202,0.016
50V,5725.38,0.2,0.022
50V,5012.19,0.186,0.020999999999999998
50V,4565.4,0.184,0.02
50V,3503.95,0.18100000000000002,0.014
50V,4483.74,0.18100000000000002,0.02
50V,2928.94,0.176,0.025
50V,4790.9,0.17300000000000001,0.019
50V,4560.38,0.17200000000000001,0.019
50V,3196.76,0.17,0.019
50V,4670.99,0.16899999999999998,0.019
50V,5208.25,0.161,0.013
50V,1302.03,0.16,0.04
50V,1265.16,0.16,0.030000000000000002
50V,7246.97,0.16,0.018000000000000002
50V,3613.94,0.159,0.018000000000000002
50V,5107.66,0.15100000000000002,0.017
50V,6467.92,0.15,0.017
50V,3815.29,0.145,0.016
50V,2445.17,0.14400000000000002,0.02
50V,5742.63,0.14400000000000002,0.016
50V,4655.03,0.14300000000000002,0.016
50V,6030.82,0.14200000000000002,0.016
50V,4220.38,0.14100000000000001,0.016
50V,1165.58,0.13999999999999999,0.030000000000000002
50V,1881.23,0.13999999999999999,0.030000000000000002
50V,1768.82,0.13999999999999999,0.030000000000000002
50V,4339.13,0.13899999999999998,0.015000000000000001
50V,4554.79,0.136,0.015000000000000001
50V,6020.45,0.131,0.014
50V,1187.75,0.12999999999999998,0.030000000000000002
50V,4828.28,0.128,0.014
50V,2527.84,0.126,0.018000000000000002
50V,4036.36,0.125,0.014
50V,4480.53,0.124,0.014
50V,3590.35,0.11900000000000001,0.01
50V,4231.37,0.11900000000000001,0.013
50V,2235.65,0.11699999999999999,0.018000000000000002
50V,2956.75,0.11699999999999999,0.018000000000000002
50V,3803.47,0.114,0.013
50V,591.54,0.11299999999999999,0.025
50V,4073.58,0.111,0.012
50V,4950.06,0.111,0.012
50V,1572.35,0.104,0.025
50V,1280.18,0.104,0.025
50V,1644.66,0.104,0.023
50V,2494.36,0.104,0.015000000000000001
50V,3299.96,0.101,0.008
50Ti,975.7,0.1,0.0
50V,2426.18,0.09899999999999999,0.014
50V,4429.23,0.097,0.011
50V,4300.74,0.097,0.011
50V,4876.03,0.097,0.011
50V,3682.36,0.096,0.011
50V,4784.27,0.096,0.011
50V,1719.15,0.095,0.019
50V,4471.45,0.093,0.01
50V,3118.02,0.09000000000000001,0.01
50V,4960.89,0.088,0.01
50V,3560.21,0.087,0.01
50V,1955.56,0.08600000000000001,0.019
50V,1914.41,0.08600000000000001,0.02
50V,5069.42,0.08399999999999999,0.009000000000000001
50V,1043.63,0.081,0.02
50Ti,2007.0,0.08,0.0
50V,2643.6,0.08,0.011
50V,4586.88,0.079,0.009000000000000001
50V,1886.73,0.077,0.014
50V,4168.02,0.077,0.009000000000000001
50V,4119.75,0.077,0.009000000000000001
50V,3698.77,0.076,0.006
50V,2233.63,0.075,0.009000000000000001
50V,3184.67,0.074,0.008
50V,4375.61,0.073,0.008
50V,1020.53,0.07200000000000001,0.015000000000000001
50V,1641.9,0.07200000000000001,0.014
50V,1352.91,0.07200000000000001,0.015000000000000001
50V,928.63,0.07200000000000001,0.015000000000000001
50V,6266.22,0.07100000000000001,0.008
50V,3494.79,0.06999999999999999,0.006
50V,762.1,0.068,0.014
50V,1847.15,0.068,0.015000000000000001
50V,1819.09,0.068,0.015000000000000001
50V,1498.68,0.068,0.015000000000000001
50V,2431.55,0.066,0.009000000000000001
50V,3796.32,0.066,0.007
50V,3127.49,0.06499999999999999,0.007
50V,3460.3,0.06499999999999999,0.007
50V,5321.67,0.064,0.007
50V,6134.61,0.064,0.007
50V,879.82,0.063,0.015000000000000001
50V,972.77,0.063,0.015000000000000001
50V,1330.65,0.063,0.014
50V,1683.94,0.063,0.015000000000000001
50V,1970.1,0.063,0.015000000000000001
50V,1100.45,0.059,0.015000000000000001
50V,5981.07,0.059,0.007
50V,3420.94,0.058,0.005
50V,2747.46,0.057,0.008
50V,1703.69,0.055,0.012
50V,580.18,0.055,0.012
50V,2300.76,0.055,0.008
50V,2561.62,0.055,0.008
50V,1382.26,0.054,0.011
50V,3213.77,0.054,0.006
50V,694.72,0.053,0.012
50V,2464.09,0.052,0.008
50V,2673.61,0.052,0.008
50V,558.01,0.051,0.012
50V,1314.12,0.051,0.012
50V,544.33,0.049,0.011
50V,1257.16,0.049,0.011
50V,1305.55,0.048,0.01
50V,893.59,0.048,0.011
50V,5065.81,0.047,0.005
50V,2422.36,0.046,0.006
50V,1864.03,0.046,0.011
50V,3074.93,0.046,0.005
50V,1275.56,0.045000000000000005,0.01
50V,2018.07,0.044,0.005
50V,2984.82,0.044,0.006
50V,2994.2,0.044,0.006
50V,2677.04,0.043000000000000003,0.006
50V,1289.05,0.041999999999999996,0.009000000000000001
50V,4019.27,0.041999999999999996,0.005
50V,2660.94,0.041999999999999996,0.006
50V,7048.03,0.041999999999999996,0.005
50V,4262.49,0.041,0.005
50V,809.31,0.041,0.009000000000000001
50V,5325.12,0.041,0.003
50V,829.84,0.041,0.009000000000000001
50V,2486.68,0.041,0.006
50V,3723.87,0.04,0.003
50V,2436.51,0.04,0.006
50V,3452.78,0.04,0.004
50V,692.56,0.039,0.009000000000000001
50V,3414.41,0.039,0.004
50V,2155.03,0.039,0.006
50V,3216.95,0.037,0.003
50V,2871.36,0.037,0.005
50V,2692.43,0.037,0.005
50V,3028.76,0.037,0.004
50V,2264.43,0.036000000000000004,0.005
50V,4987.81,0.036000000000000004,0.003
50V,1874.39,0.036000000000000004,0.008
50V,6258.97,0.036000000000000004,0.004
50V,2336.61,0.036000000000000004,0.005
50V,610.76,0.034999999999999996,0.008
50V,2357.58,0.034999999999999996,0.005
50V,2652.99,0.034,0.005
50V,3193.75,0.034,0.004
50V,2801.51,0.034,0.005
50V,608.75,0.033,0.007
50V,2198.41,0.033,0.005
50V,3566.84,0.033,0.004
50V,2008.68,0.032,0.004
50V,599.51,0.032,0.007
50V,4129.78,0.032,0.004
50V,1229.5,0.032,0.007
50V,582.59,0.032,0.007
50V,3061.15,0.032,0.003
50V,3623.12,0.031,0.003
50V,1051.67,0.031,0.007
50V,2946.99,0.031,0.004
50V,695.4,0.030000000000000002,0.006
50V,1449.28,0.030000000000000002,0.007
50V,2880.92,0.030000000000000002,0.004
50V,2775.78,0.030000000000000002,0.004
50V,7655.52,0.028399999999999998,0.0021
50V,4886.63,0.028,0.003
50V,1501.35,0.027,0.006
50V,2364.22,0.027,0.004
50V,1388.67,0.026,0.005
50V,1108.41,0.026,0.006
50V,598.38,0.026,0.006
50V,2715.12,0.026,0.004
50V,1521.1,0.025,0.006
50V,1225.26,0.025,0.006
50V,524.36,0.025,0.006
50V,868.12,0.025,0.006
50V,640.41,0.024,0.006
50V,2344.97,0.024,0.003
50V,2731.89,0.024,0.003
50V,707.88,0.023,0.005
50V,1084.44,0.023,0.005
50V,2255.64,0.023,0.003
50V,2583.79,0.023,0.003
50V,2460.82,0.023,0.003
50V,4224.66,0.022099999999999998,0.0023
50V,541.8,0.022,0.005
50V,2633.37,0.022,0.003
50V,1249.29,0.022,0.005
50V,1759.16,0.022,0.005
50V,4756.92,0.0216,0.0023
50V,2011.13,0.020999999999999998,0.003
50V,996.65,0.02,0.005
50V,2570.84,0.02,0.003
50V,2228.58,0.02,0.003
50V,779.15,0.019,0.005
50V,704.45,0.019,0.005
50V,2362.09,0.019,0.003
50V,531.71,0.019,0.005
50V,3306.77,0.018000000000000002,0.002
50V,926.73,0.018000000000000002,0.004
50V,2353.79,0.018000000000000002,0.0025
50V,3289.59,0.018000000000000002,0.002
50V,2769.45,0.0171,0.0025
50V,2636.05,0.0171,0.0025
50V,2755.77,0.0171,0.0025
50V,1045.9,0.017,0.004
50V,2377.67,0.0167,0.0024
50V,2696.59,0.0167,0.0024
50V,2211.77,0.0162,0.0024
50V,909.82,0.016,0.003
50V,2664.23,0.0158,0.0024
50V,3435.44,0.0153,0.0018
50V,2416.73,0.0153,0.002
50V,746.41,0.015000000000000001,0.004
50V,5163.86,0.0144,0.0017000000000000001
50V,931.23,0.014,0.003
50V,617.24,0.013,0.003
50V,2823.61,0.0126,0.0018
50V,3444.83,0.0126,0.0013
50V,3545.46,0.0126,0.0013
50V,5017.06,0.0122,0.0013
50V,547.55,0.0117,0.0025
50V,3317.02,0.0117,0.0012
50V,2247.74,0.011300000000000001,0.0018
50V,3108.29,0.0108,0.0012
50V,1039.36,0.0108,0.0025
50V,3107.75,0.0108,0.0012
50V,3201.7,0.0108,0.0012
50V,2603.71,0.0104,0.0014
50V,6038.3,0.0099,0.0011
50V,614.26,0.0099,0.0021
50V,2723.08,0.0095,0.0013
50V,6165.03,0.0095,0.001
50V,4682.65,0.0095,0.001
50V,2719.1,0.0086,0.0012
50V,4446.48,0.0081,0.0009
50V,4100.11,0.0081,0.0009
50V,2705.74,0.007700000000000001,0.0012
50V,5976.73,0.0059,0.0007
50V,5807.69,0.0045000000000000005,0.0006
51V,125.082,1610.0,40.0
51V,6517.282,780.0,40.0
51V,645.703,769.0,17.0
51V,7162.898,590.0,40.0
51V,6874.157,490.0,60.0
51V,6464.887,430.0,40.0
51V,436.627,397.0,9.0
51V,5515.813,390.0,40.0
51V,5752.064,366.0,24.0
51V,1558.843,323.0,8.0
51V,823.184,320.0,8.0
51V,17.152,260.0,20.0
51V,147.846,253.0,6.0
51V,845.948,252.0,7.0
51V,419.475,249.0,6.0
51V,5210.143,244.0,20.0
51V,124.453,230.0,50.0
51V,7310.721,227.0,9.0
51V,5142.363,200.0,6.0
51V,793.546,199.0,5.0
51V,1777.961,169.0,13.0
51V,295.023,164.0,4.0
51V,1358.498,151.0,5.0
51V,2145.826,140.0,4.0
51V,5892.101,126.0,7.0
51V,2422.18,112.0,24.0
51V,4116.821,94.0,4.0
51V,7293.572,89.0,5.0
51V,4883.379,73.0,4.0
51V,22.764,70.0,2.0
51V,1401.641,70.0,4.0
51V,1418.793,68.0,4.0
51V,1952.964,67.7,2.5
51V,1001.583,65.10000000000001,2.1
51V,712.907,59.7,2.3
51V,7287.961,56.0,4.0
51V,1664.192,51.9,2.4
51V,4452.2,50.0,10.0
51V,698.104,49.0,4.0
51V,1322.664,47.0,10.0
51V,1307.279,41.0,1.9
51V,4992.94,36.0,3.0
51V,1634.068,35.9,1.9
51V,1333.52,34.5,2.1
51V,2083.652,33.9,1.9
51V,2841.64,33.300000000000004,1.9
51V,982.175,30.700000000000003,1.7
51V,3502.64,30.599999999999998,1.8
51V,1272.67,29.1,2.1
51V,3577.98,27.099999999999998,2.0
51V,1775.431,27.0,6.0
51V,5551.32,27.0,3.0
51V,1322.98,26.0,2.1
51V,1254.878,25.7,1.3
51V,3715.86,25.6,2.1
51V,2410.436,25.3,1.7
51V,3032.6,24.9,2.0
51V,3534.07,24.299999999999997,2.1
51V,2100.804,23.900000000000002,1.5
51V,1611.758,23.599999999999998,1.5
51V,1270.951,22.0,5.0
51V,2020.749,21.4,1.7
51V,1622.296,20.6,0.7
51V,1635.382,20.0,4.0
51V,5578.358,19.0,3.0
51V,4486.46,18.700000000000003,2.0
51V,682.031,18.0,1.0
51V,4772.17,18.0,6.0
51V,886.631,17.1,0.7
51V,2168.589,16.6,1.2
51V,1732.563,16.1,1.6
51V,505.31,15.9,0.9
51V,3735.18,15.7,1.7
51V,2710.95,15.0,1.5
51V,2170.18,14.9,1.8
51V,2516.03,14.8,1.9
51V,2318.02,14.5,1.3
51V,3772.65,14.5,1.8
51V,1795.113,14.0,1.7
51V,4192.75,14.0,6.0
51V,1424.09,13.899999999999999,1.6
51V,1747.374,13.6,1.5
51V,2319.01,13.4,1.6
51V,3861.13,13.100000000000001,1.8
51V,3977.84,12.9,1.3
51V,2931.03,12.200000000000001,1.4
51V,2006.86,11.799999999999999,1.4
51V,3046.336,11.6,1.5
51V,1709.8,11.2,1.2
51V,2427.587,10.6,1.3
51V,2272.33,10.4,1.1
51V,4323.77,10.4,1.9
51V,2285.989,10.1,1.2
51V,2891.27,10.1,1.6
51V,1375.065,9.799999999999999,1.4
51V,3333.15,9.799999999999999,1.9
51V,2827.88,9.700000000000001,1.3
51V,776.394,9.1,0.7
51V,4301.9,9.1,1.6
51V,1148.22,8.8,1.9
51V,1769.65,8.7,1.9
51V,2390.72,8.7,1.0
51V,4567.98,8.6,1.5
51V,4535.21,8.5,2.1
51V,2065.28,8.0,1.0
51V,4126.76,8.0,1.5
51V,5731.77,8.0,2.0
51V,572.855,7.9,0.9
51V,2758.62,7.9,1.4
51V,2970.07,7.8,0.9
51V,2151.437,7.7,0.9
51V,2387.92,7.7,1.9
51V,2807.37,7.5,1.4
51V,1411.001,7.4,1.3
51V,2987.22,7.4,0.9
51V,4251.57,7.4,1.7
51V,4751.67,7.2,0.6
51V,3427.1,7.1000000000000005,2.0
51V,3837.32,7.1000000000000005,1.3
51V,3581.53,7.0,1.7
51V,1579.14,6.8999999999999995,1.0
51V,1472.09,6.8999999999999995,1.1
51V,3139.22,6.7,0.9
51V,4465.95,6.7,0.6
51V,3101.74,6.6,1.3
51V,3296.42,6.6,0.6
51V,4112.1,6.5,0.5
51V,2122.7,6.4,0.8
51V,655.41,6.4,0.9
51V,1564.5,6.4,1.4
51V,2939.52,6.3,0.8
51V,2038.3,6.3,1.6
51V,3629.09,6.2,0.5
51V,2725.84,6.1000000000000005,0.8
51V,2473.78,6.1000000000000005,0.8
51V,3025.89,5.8999999999999995,1.1
51V,2743.0,5.8,1.0
51V,2622.82,5.8,1.1
51V,2070.51,5.8,0.7
51V,1742.45,5.7,1.2
51V,3558.67,5.5,1.2
51V,3754.17,5.4,1.5
51V,2962.46,5.4,1.2
51V,3202.38,5.3,1.3
51V,356.923,5.2,0.6
51V,3176.13,5.2,0.8
51V,2348.265,5.1000000000000005,0.9
51V,4130.56,5.1000000000000005,0.4
51V,899.25,5.0,0.9
51V,3014.86,5.0,1.0
51V,1653.513,4.8999999999999995,1.0
51V,1093.415,4.8999999999999995,0.9
51V,3672.02,4.8999999999999995,1.9
51V,1524.49,4.8,0.9
51V,806.26,4.8,1.0
51V,979.99,4.8,1.0
51V,2656.36,4.8,0.8
51V,3473.68,4.7,0.4
51V,2883.57,4.6,0.6
51V,4285.1,4.6,0.4
51V,5540.79,4.5,0.3
51V,5015.86,4.4,0.3
51V,2556.16,4.4,0.6
51V,2109.89,4.3,0.8
51V,1584.723,4.2,0.7
51V,1765.49,4.2,0.9
51V,1914.41,4.2,0.9
51V,3706.71,4.2,1.3
51V,1692.88,4.1000000000000005,0.8
51V,2031.01,4.1000000000000005,0.5
51V,2627.78,4.1000000000000005,1.1
51V,2792.31,4.1000000000000005,1.0
51V,3059.42,3.9,1.0
51V,3785.6,3.9,0.3
51V,1131.91,3.8,0.8
51V,1979.98,3.8,1.1
51V,1929.85,3.7,0.8
51V,3390.51,3.7,0.9
51V,3995.91,3.7,0.3
51V,1399.11,3.5,0.7
51V,1301.95,3.5,0.7
51V,2300.86,3.4,1.1
51V,2249.59,3.4,1.1
51V,2701.77,3.4,1.0
51V,1536.08,3.3,0.9
51V,2858.79,3.3,0.4
51V,3622.06,3.3,0.3
51V,3666.17,3.3,0.3
51V,1541.691,3.2,0.7
51V,2559.31,3.2,0.4
51V,2338.32,3.2,0.4
51V,2469.18,3.2,0.4
51V,1833.54,3.1,0.7
51V,2417.71,3.0,0.3
51V,2265.91,3.0,0.3
51V,2723.66,2.9,0.9
51V,1120.04,2.8,0.6
51V,2163.18,2.8,0.8
51V,3171.41,2.8,0.7
51V,4341.51,2.62,0.19
51V,3725.18,2.62,0.19
51V,2910.38,2.6,0.4
51V,2839.38,2.5,0.3
51V,3491.61,2.4299999999999997,0.18000000000000002
51V,4586.44,2.4299999999999997,0.18000000000000002
51V,541.979,2.4,0.5
51V,1509.42,2.4,0.5
51V,2723.6,2.4,0.3
51V,3484.9,2.34,0.18000000000000002
51V,1618.0,2.3,0.5
51V,2601.4,2.3,0.3
51V,3292.33,2.25,0.17
51V,1647.272,2.2,0.5
51V,1065.42,2.2,0.5
51V,1644.04,2.1,0.4
51V,3310.39,2.06,0.16
51V,2851.33,2.06,0.23
51V,1745.28,2.0,0.4
51V,3051.06,2.0,0.9
51V,2054.95,1.97,0.23
51V,4255.63,1.97,0.16
51V,2692.44,1.8699999999999999,0.22
51V,3983.12,1.8699999999999999,0.15
51V,758.02,1.8,0.4
51V,1996.75,1.8,0.4
51V,1695.49,1.8,0.4
51V,1973.49,1.7,0.9
51V,1572.81,1.7,0.4
51V,3009.09,1.6800000000000002,0.13999999999999999
51V,2896.55,1.6800000000000002,0.22
51V,3759.78,1.6800000000000002,0.13999999999999999
51V,3967.02,1.6800000000000002,0.13999999999999999
51V,4108.61,1.6800000000000002,0.13999999999999999
51V,2382.4,1.6800000000000002,0.22
51V,4400.6,1.6800000000000002,0.13999999999999999
51V,4370.84,1.59,0.13999999999999999
51V,2214.23,1.59,0.21000000000000002
51V,1485.99,1.5,0.3
51V,2352.98,1.5,0.21000000000000002
51V,3644.83,1.5,0.12999999999999998
51V,5038.62,1.5,0.12999999999999998
51V,1590.963,1.4,0.3
51V,1990.978,1.4,0.3
51V,2747.63,1.4,0.21000000000000002
51V,2818.87,1.4,0.21000000000000002
51V,2786.21,1.4,0.21000000000000002
51V,2215.58,1.31,0.12999999999999998
51V,3315.09,1.31,0.12999999999999998
51V,2744.84,1.31,0.12999999999999998
51V,4137.27,1.31,0.12999999999999998
51V,2586.34,1.31,0.12999999999999998
51V,3479.89,1.31,0.12999999999999998
51V,2861.25,1.3,1.0
51V,1538.09,1.3,0.3
51V,1573.61,1.3,0.8
51V,2075.87,1.3,1.2
51V,1725.88,1.3,0.3
51V,2314.29,1.22,0.12000000000000001
51V,2443.26,1.22,0.12000000000000001
51V,4091.46,1.22,0.12000000000000001
51V,1894.46,1.17,0.08
51V,972.89,1.1199999999999999,0.2
51V,1897.08,1.1199999999999999,0.2
51V,2550.61,1.1199999999999999,0.12000000000000001
51V,1891.09,1.1199999999999999,0.2
51V,3776.93,1.1199999999999999,0.12000000000000001
51V,2545.92,1.1199999999999999,0.12000000000000001
51V,3022.35,1.1199999999999999,0.12000000000000001
51V,966.07,1.03,0.2
51V,2439.72,1.03,0.11
51V,3585.18,1.03,0.11
51V,2904.06,1.03,0.11
51V,4461.37,1.03,0.11
51V,1640.68,0.94,0.2
51V,3432.72,0.94,0.11
51V,2529.56,0.94,0.11
51V,3198.89,0.8400000000000001,0.11
51V,2798.93,0.8400000000000001,0.11
51V,1739.68,0.8400000000000001,0.19
51V,1740.2,0.8400000000000001,0.19
51V,4606.98,0.8400000000000001,0.11
51V,2649.67,0.8,0.6
51V,3325.84,0.75,0.11
51V,1750.52,0.75,0.19
51V,3815.72,0.75,0.11
51V,1854.52,0.75,0.19
51V,3184.23,0.66,0.23
51V,3591.42,0.66,0.1
51V,2876.74,0.66,0.1
51V,4267.95,0.5599999999999999,0.1
51V,2706.05,0.47,0.1
51V,2660.21,0.47,0.1
51V,4318.22,0.47,0.1
51V,3340.33,0.37,0.1
51V,1860.5,0.37,0.1
51V,4046.51,0.37,0.1
52Cr,7938.46,424.0,11.0
52Cr,2320.8,136.0,3.0
52Cr,5617.9,132.0,5.0
52Cr,564.05,113.0,2.0
52Cr,7374.49,80.0,4.0
52Cr,5268.9,50.0,6.0
52Cr,4322.1,26.9,1.5
52Cr,2669.8,26.3,1.2
52Cr,3616.7,26.0,1.2
52Cr,2105.8,21.0,4.0
52Cr,1006.33,3.8,0.4
52Cr,2143.94,3.7,0.5
52Cr,5230.7,3.5,0.9
52Cr,734.4,1.1,0.3
52Cr,2708.0,0.9,0.3
52Cr,442.7,0.02,0.01
53Cr,834.849,1380.0,30.0
53Cr,8884.36,780.0,50.0
53Cr,9719.06,260.0,18.0
53Cr,2239.04,186.0,3.0
53Cr,6645.61,183.0,13.0
53Cr,1784.7,176.0,2.0
53Cr,7099.91,146.0,9.0
53Cr,5999.8,85.0,7.0
53Cr,3719.7,67.5,2.4
53Cr,1994.52,54.5,1.4
53Cr,5268.15,46.5,2.5
53Cr,6890.11,42.0,3.0
