Isotope,Energy (keV),Sigma (b),DSigma (b)
1H,2223.248,0.333,0.0007
2H,6250.243,0.000519,7e-06
3He,20520.46,4.2e-11,1.2e-11
6Li,477.595,0.00153,8e-05
6Li,6768.81,0.00151,9e-05
6Li,7245.91,0.00247,0.00014
7Li,980.53,0.00415,0.00013
7Li,1051.9,0.00414,0.00012
7Li,2032.3,0.0381,0.0008
9Be,3367.448,0.00285,0.00022
9Be,2590.014,0.00191,0.00015
9Be,5956.53,0.000146,1.2e-05
9Be,5958.85,6.8e-06,8e-07
9Be,219.4,4.5e-06,6e-07
9Be,2811.68,1.05e-05,1.2e-06
9Be,304.24,2.3e-06,5e-07
9Be,2896.02,1.16e-05,1.3e-06
9Be,547.55,1.09e-05,1e-06
9Be,631.92,1.8e-05,4e-06
9Be,853.63,0.00208,0.00024
9Be,3443.406,0.00098,7e-05
9Be,6809.61,0.0058,0.0005
10B,4444.03,0.039,0.003
10B,2296.63,0.0054,0.0012
10B,6739.67,0.0113,0.001
10B,4474.5,0.00045,7e-05
10B,8916.6,0.0077,0.0008
10B,2533.35,0.0083,0.0012
10B,4711.18,0.0155,0.0012
10B,7006.75,0.0327,0.0024
10B,11447.75,0.0028,0.0003
10B,477.595,716.0,25.0
12C,3089.057,1.65e-05,8e-07
12C,595.015,9.5e-06,4e-07
12C,3683.92,0.00122,3e-05
12C,1261.765,0.00124,3e-05
12C,1856.717,6.2e-06,4e-07
12C,4945.301,0.00261,5e-05
13C,6092.46,2.12e-06,9e-08
13C,495.71,1.04e-06,5e-08
13C,808.82,4.7e-07,3e-08
13C,1273.82,6.4e-07,9e-08
13C,1586.91,1.1e-06,6e-08
13C,2082.56,3.2e-07,5e-08
13C,8174.04,1.09e-05,6e-07
14N,5269.159,0.0236,0.0003
14N,5297.821,0.0168,0.00023
14N,1024.995,1.26e-05,2.4e-06
14N,1053.666,1.2e-05,3e-06
14N,6322.428,0.0145,0.00022
14N,831.218,3.7e-05,6e-06
14N,1884.821,0.0147,0.00018
14N,7153.27,5e-05,6e-06
14N,976.996,2.8e-05,9e-06
14N,2001.92,0.00019,4e-05
14N,2030.589,5.8e-05,7e-06
14N,7298.983,0.00746,0.00012
14N,2293.18,3.6e-05,4e-06
14N,1011.706,0.000108,4e-06
14N,1988.632,0.000289,1.6e-05
14N,3013.482,0.00057,5e-05
14N,8310.161,0.0033,6e-05
14N,2247.3,1.2e-05,3e-06
14N,3300.79,0.000116,8e-06
14N,8568.71,5.4e-05,5e-06
14N,2725.47,1.6e-05,4e-06
14N,9046.66,0.000159,1.8e-05
14N,3881.29,6.3e-05,1.3e-05
14N,9148.98,0.00129,6e-05
14N,583.59,0.000429,1.4e-05
14N,1853.922,0.000508,1e-05
14N,1999.69,0.00323,4e-05
14N,2830.789,0.00134,3e-05
14N,3855.577,0.000626,1.6e-05
14N,3884.242,0.000436,1.3e-05
14N,9151.937,0.00012,3e-05
14N,2898.31,1.7e-05,4e-06
14N,3923.1,2.9e-05,7e-06
14N,9219.43,1.5e-05,9e-06
14N,608.28,2.5e-05,1e-05
14N,9756.87,4.4e-05,5e-06
14N,769.92,8e-06,3e-06
14N,1612.15,9.5e-05,1.1e-05
14N,4653.95,2.2e-05,5e-06
14N,9921.36,9.9e-05,8e-06
14N,10061.85,4.5e-05,8e-06
14N,10697.63,8e-06,5e-06
14N,131.59,1.4e-05,3e-06
14N,383.0,5.5e-06,2.4e-06
14N,767.82,5.1e-05,3e-06
14N,908.41,0.000127,4e-06
14N,1073.0,6.9e-05,4e-06
14N,1610.75,5.8e-05,6e-06
14N,1678.281,0.0063,0.0003
14N,1681.24,0.00129,8e-05
14N,1783.61,0.000195,1.3e-05
14N,2261.8,6.1e-05,5e-06
14N,2520.457,0.00441,0.00024
14N,3269.41,4.7e-05,8e-06
14N,3531.981,0.0071,0.0004
14N,3677.732,0.0115,0.0006
14N,4508.731,0.0132,0.0007
14N,5533.395,0.0155,0.0008
14N,5562.057,0.0084,0.0005
14N,10829.12,0.0113,0.0008
16O,870.68,0.000177,1.1e-05
16O,2184.42,0.000164,7e-06
16O,1087.75,0.000158,7e-06
16O,3272.02,3.53e-05,2.3e-06
17O,1981.95,2e-07,4e-08
17O,1572.6,2.2e-09,0.0
17O,1651.61,5.6e-08,1.1e-08
17O,1938.26,3.4e-08,7e-09
17O,3919.98,6e-09,1.2e-09
17O,535.09,2e-09,0.0
17O,821.76,5.8e-08,1.2e-08
17O,2473.29,4.2e-08,9e-09
17O,1177.3,6.6e-09,0.0
17O,1542.9,2.2e-09,0.0
17O,3115.4,2.8e-08,6e-09
17O,1457.36,3e-09,0.0
17O,3395.39,1.9e-08,4e-09
17O,1895.76,6.4e-09,0.0
17O,2430.68,2.9e-08,6e-09
17O,4369.23,1.7e-08,0.0
17O,1693.1,5.2e-08,1e-08
17O,2666.4,2.2e-08,4e-09
17O,2946.6,3.8e-08,8e-09
17O,3588.5,7.5e-08,1.5e-08
19F,656.006,0.00197,7e-05
19F,166.7,0.000413,1.8e-05
19F,822.7,0.00022,9e-06
19F,983.538,0.00116,4e-05
19F,1056.776,0.00095,3e-05
19F,252.364,8e-06,2e-06
19F,325.606,4e-05,3e-06
19F,653.144,2e-05,3e-06
19F,1309.126,0.00076,3e-05
19F,534.6,1.3e-05,2e-06
19F,1187.725,4.5e-05,3e-06
19F,1843.688,0.0006,2.3e-05
19F,661.647,0.000224,1.4e-05
19F,987.24,4e-06,1e-06
19F,1148.077,0.000258,1.2e-05
19F,1970.726,8.5e-05,6e-06
19F,734.783,6e-06,2e-06
19F,1387.901,0.00082,3e-05
19F,2043.858,7e-05,4e-06
19F,885.095,5e-06,1e-06
19F,1371.52,0.000144,7e-06
19F,2194.159,0.000132,6e-06
19F,670.57,3e-06,1e-06
19F,820.88,5e-06,2e-06
19F,894.02,3e-06,1e-06
19F,1021.06,3e-06,1e-06
19F,1555.63,5e-06,1e-06
19F,2042.04,5e-06,2e-06
19F,2208.72,2e-06,1e-06
19F,2864.65,2.2e-05,4e-06
19F,771.79,1.5e-05,4e-06
19F,2143.248,0.000195,8e-06
19F,2309.929,4.5e-05,3e-06
19F,2965.854,9.3e-05,5e-06
19F,2188.0,1.3e-05,2.1e-06
19F,1644.538,7.3e-05,6e-06
19F,2179.091,8.9e-05,6e-06
19F,2431.425,7e-05,3e-05
19F,2504.658,3.8e-05,4e-06
19F,3488.064,0.00073,3e-05
19F,2469.34,0.000194,9e-06
19F,620.431,2.37e-05,1.8e-06
19F,1392.191,8.3e-05,5e-06
19F,1542.498,0.000271,1.1e-05
19F,1742.67,6e-06,2e-06
19F,2529.553,9e-05,3e-05
19F,2602.786,3.5e-05,3e-06
19F,2930.284,8.5e-05,5e-06
19F,3586.186,0.000286,1.3e-05
19F,1545.76,1.3e-05,2.1e-06
19F,2933.55,2.3e-05,3e-06
19F,3589.45,0.000179,8e-06
19F,1836.29,1.61e-05,1.9e-06
19F,2370.83,8e-06,2.2e-06
19F,2623.16,4.5e-05,3e-06
19F,3023.89,3.2e-05,5e-06
19F,3679.79,8.7e-05,8e-06
19F,793.35,7e-06,2e-06
19F,2121.16,1.51e-05,1.9e-06
19F,2655.7,7.6e-05,6e-06
19F,2981.26,3.5e-05,5e-06
19F,2038.07,1.5e-05,2.3e-06
19F,3025.1,8.4e-05,9e-06
19F,3098.33,7e-06,2.1e-06
19F,4081.71,5.6e-05,4e-06
19F,2232.98,2.1e-05,3e-06
19F,3220.0,6.1e-05,4e-06
19F,3293.23,3.8e-05,8e-06
19F,691.29,4e-06,2.2e-06
19F,3387.58,6.1e-05,5e-06
19F,3534.57,1.4e-05,3e-06
19F,3607.8,2.1e-05,3e-06
19F,1306.22,9e-06,2.1e-06
19F,2698.32,4e-06,1e-06
19F,4069.64,7e-06,2.1e-06
19F,4225.53,6e-06,1.1e-06
19F,5282.07,8e-06,2.1e-06
19F,3475.05,5e-06,1.1e-06
19F,4009.55,1e-05,3e-06
19F,4261.86,3e-06,1e-06
19F,4335.08,4.6e-05,4e-06
19F,5318.39,1.9e-05,3e-06
19F,2600.79,4e-06,2e-06
19F,2690.27,6e-06,1.1e-06
19F,3711.19,1.2e-05,3e-06
19F,4245.68,9.5e-05,5e-06
19F,4898.68,7e-06,2e-06
19F,5554.51,5.1e-05,4e-06
19F,3578.82,9e-06,2.1e-06
19F,4313.46,1.8e-05,3e-06
19F,4638.99,2.3e-05,4e-06
19F,5622.28,8e-06,2.1e-06
19F,1853.88,1.3e-05,2.2e-06
19F,1970.96,1e-05,3e-06
19F,2255.83,8.5e-05,5e-06
19F,2346.18,2.1e-05,4e-06
19F,2349.445,3.1e-05,4e-06
19F,2447.574,0.000144,7e-06
19F,2969.8,1.6e-05,3e-06
19F,3071.0,2e-05,3e-06
19F,3741.46,5.7e-05,5e-06
19F,3891.749,1.8e-05,3e-06
19F,3964.872,0.000435,1.8e-05
19F,4091.9,1.7e-05,3e-06
19F,4626.378,8e-06,2e-06
19F,4878.68,9e-06,2e-06
19F,4951.9,6.2e-05,6e-06
19F,5279.36,0.000421,2e-05
19F,5935.179,9.1e-05,8e-06
19F,2352.4,1.7e-05,3e-06
19F,3894.7,1.2e-05,3e-06
19F,4094.85,5.1e-05,1.7e-05
19F,4954.86,2.1e-05,8e-06
19F,5938.13,1.1e-05,5e-06
19F,1935.52,7.3e-05,5e-06
19F,2052.6,5e-06,1e-06
19F,2337.47,1.4e-05,3e-06
19F,2427.82,0.000189,8e-06
19F,2431.084,0.000392,2.4e-05
19F,2529.212,0.00061,3e-05
19F,3051.435,0.000297,1.2e-05
19F,3152.64,1.4e-05,3e-06
19F,3823.093,0.000107,6e-06
19F,3973.381,2.4e-05,3e-06
19F,4046.504,6e-05,1.6e-05
19F,4173.527,0.000166,7e-06
19F,4708.007,5.1e-05,4e-06
19F,4960.307,2.7e-05,4e-06
19F,5033.53,0.00063,3e-05
19F,5360.986,0.000117,5e-06
19F,6016.802,0.00094,4e-05
19F,2079.75,1.1e-05,2e-06
19F,2458.24,6e-06,1e-06
19F,2556.37,1.6e-05,3e-06
19F,4200.68,0.000111,6e-06
19F,4735.16,5.6e-05,4e-06
19F,302.24,5e-06,2e-06
19F,556.4,0.000201,8e-06
19F,583.561,0.00356,0.00012
19F,662.25,0.000102,1.5e-05
19F,665.207,0.00149,6e-05
19F,791.2,4e-06,1e-06
19F,978.19,6.8e-05,6e-06
19F,1045.98,0.000179,8e-06
19F,1135.47,1.08e-05,2e-06
19F,1282.15,8.5e-05,5e-06
19F,1318.48,2.34e-05,2e-06
19F,1375.2,5e-06,2e-06
19F,1708.47,2.5e-05,3e-06
19F,2009.52,4.6e-05,4e-06
19F,2229.75,5.3e-05,5e-06
19F,2324.12,0.000118,5e-06
19F,2519.02,6.8e-05,5e-06
19F,2636.09,9.6e-05,5e-06
19F,2920.96,9.6e-05,5e-06
19F,3014.568,0.000405,1.5e-05
19F,3074.78,0.000186,8e-06
19F,3112.693,0.000236,9e-06
19F,4556.817,0.000517,2.3e-05
19F,4629.938,6e-06,1e-06
19F,4756.957,0.000186,9e-06
19F,5291.42,0.000235,1.1e-05
19F,5543.713,0.000407,1.7e-05
19F,5616.933,0.000141,8e-06
19F,6600.175,0.00096,3e-05
20Ne,350.72,0.0198,0.0004
20Ne,2437.84,0.00036,7e-05
20Ne,2788.63,7.2e-05,1.8e-05
20Ne,2793.94,0.009,0.00011
20Ne,869.5,6.8e-06,2.2e-06
20Ne,874.8,4e-05,1.4e-05
20Ne,3311.92,6.1e-05,1.8e-05
20Ne,1890.4,3.6e-06,1.1e-06
20Ne,4333.19,0.000115,1.4e-05
20Ne,4683.62,9e-05,1.1e-05
20Ne,1931.08,0.00591,0.00022
20Ne,4374.13,0.0191,0.00022
20Ne,4725.1,5e-05,7e-06
20Ne,964.41,0.00029,0.00011
20Ne,2895.32,0.00252,7e-05
20Ne,5688.97,0.00214,3e-05
20Ne,5641.0,8.6e-05,7e-06
20Ne,5991.71,0.000158,1.1e-05
20Ne,768.55,0.00025,4e-05
20Ne,1071.34,0.0054,0.0004
20Ne,2035.67,0.0245,0.0025
20Ne,2077.23,0.000205,2.5e-05
20Ne,3097.25,8.3e-05,2.2e-05
20Ne,3966.51,0.00014,2.2e-05
20Ne,3971.98,0.00039,3e-05
20Ne,6409.39,0.00018,0.00011
20Ne,6760.06,0.0021,2.5e-05
21Ne,1274.542,0.0018,0.0005
21Ne,2082.5,0.0011,0.0003
21Ne,3181.8,0.00048,0.00012
21Ne,4456.0,1.5e-05,1e-05
21Ne,2165.9,0.00084,0.00021
21Ne,4248.2,1.3e-05,4e-06
21Ne,4634.83,0.00042,0.00011
21Ne,2987.8,0.00086,0.00022
21Ne,4018.3,0.0009,0.00023
21Ne,4840.1,0.00038,0.0001
21Ne,9087.3,0.00028,7e-05
22Ne,1017.0,0.003,0.0005
22Ne,1822.4,0.00052,5e-05
22Ne,1398.1,9e-05,4e-05
22Ne,2203.58,0.00238,0.00023
22Ne,3220.42,0.00057,0.00023
22Ne,2013.8,0.0004,5e-05
22Ne,2819.22,0.00052,5e-05
22Ne,1364.8,0.00091,0.00012
22Ne,1979.89,0.00306,0.00017
22Ne,4183.2,0.00012,5e-05
23Na,90.992,0.235,0.003
23Na,563.192,0.0085,0.0003
23Na,778.221,0.0058,0.0003
23Na,869.21,0.108,0.0013
23Na,781.435,0.0175,0.0005
23Na,1344.607,0.0217,0.0005
23Na,874.389,0.076,0.0011
23Na,499.381,0.0143,0.0003
23Na,501.347,0.00314,0.00013
23Na,504.561,0.00138,0.00011
23Na,1282.764,0.0055,0.0003
23Na,1373.751,0.0079,0.0019
23Na,1322.262,0.0062,0.0003
23Na,1885.421,0.0039,0.0003
23Na,614.25,0.0007,0.0001
23Na,1488.62,0.00011,4e-05
23Na,1504.92,0.00293,0.00023
23Na,552.51,0.00067,8e-05
23Na,1950.112,0.0087,0.0003
23Na,1217.69,0.00135,0.00021
23Na,1559.38,0.00158,0.00015
23Na,1092.26,0.00155,0.00012
23Na,1633.08,0.0074,0.0004
23Na,1636.293,0.025,0.0007
23Na,2414.457,0.0237,0.0005
23Na,2505.439,0.0167,0.0005
23Na,2977.589,0.0005,5e-05
23Na,858.43,0.0004,0.0003
23Na,1486.294,0.00124,0.00012
23Na,2025.139,0.0341,0.0008
23Na,2027.104,0.0038,0.0005
23Na,2030.318,0.0219,0.0007
23Na,2808.468,0.0168,0.0007
23Na,1567.25,0.00076,9e-05
23Na,2066.6,0.0012,0.00011
23Na,2071.78,0.0059,0.0003
23Na,2849.93,0.00144,0.00012
23Na,2940.91,0.00347,0.00018
23Na,1743.33,0.00036,4e-05
23Na,2242.67,0.00056,5e-05
23Na,2247.85,0.00057,9e-05
23Na,3025.99,0.0146,0.0006
23Na,3116.97,0.00523,0.00024
23Na,2286.65,0.00081,5e-05
23Na,3627.9,0.0008,7e-05
23Na,1770.34,0.00035,6e-05
23Na,2314.36,0.00028,4e-05
23Na,3092.5,0.0025,0.0004
23Na,3209.59,0.00381,0.0002
23Na,1859.56,0.00023,0.0001
23Na,1899.06,0.0081,0.0004
23Na,2400.36,0.0009,0.0004
23Na,2403.57,0.00151,0.00022
23Na,3181.71,0.00128,0.00013
23Na,3744.82,0.000177,2.1e-05
23Na,2019.5,0.0025,0.0003
23Na,2524.01,0.00052,7e-05
23Na,2588.94,0.00131,4e-05
23Na,3943.13,0.00043,3e-05
23Na,2131.32,0.00024,3e-05
23Na,2630.66,0.00289,0.00014
23Na,3413.97,0.00441,0.00018
23Na,3504.94,0.00676,0.00023
23Na,2701.56,0.000172,2.2e-05
23Na,3575.85,0.00016,5e-05
23Na,4142.7,6.3e-05,1.6e-05
23Na,2301.2,0.00025,0.0001
23Na,1218.43,0.0001,6e-05
23Na,2310.63,0.00018,4e-05
23Na,2350.13,0.00018,9e-05
23Na,3632.76,0.00045,3e-05
23Na,3723.74,0.00156,8e-05
23Na,793.83,0.00211,0.00017
23Na,835.292,0.0109,0.0003
23Na,1229.33,0.00151,0.00012
23Na,1693.69,0.00063,0.0001
23Na,2361.026,0.0084,0.0003
23Na,2860.355,0.0177,0.0005
23Na,2865.534,0.013,0.0004
23Na,3643.655,0.0067,0.0003
23Na,3734.632,0.00037,3e-05
23Na,1028.3,0.00048,0.0001
23Na,1928.16,0.0048,0.00019
23Na,2555.99,0.00052,9e-05
23Na,2595.49,0.0052,0.0003
23Na,3096.78,0.0199,0.0007
23Na,3099.99,0.016,0.0009
23Na,3878.1,0.0218,0.0006
23Na,3969.08,0.00212,0.0001
23Na,906.1,0.00035,9e-05
23Na,1584.19,0.00024,7e-05
23Na,2584.7,0.0013,0.00022
23Na,2715.87,0.00306,0.00016
23Na,4089.45,0.00201,0.0001
23Na,1208.28,0.0002,9e-05
23Na,2660.59,0.00023,3e-05
23Na,1034.35,6e-05,3e-05
23Na,1712.43,0.0112,0.0006
23Na,4689.79,7.3e-05,1.6e-05
23Na,773.64,0.000384,1.9e-05
23Na,1005.924,0.00227,0.00012
23Na,1095.15,0.00099,0.00021
23Na,1337.73,0.00313,0.0002
23Na,1773.23,0.00106,0.00013
23Na,1846.92,0.00052,0.00017
23Na,2237.58,0.00098,0.00014
23Na,2790.03,0.00054,8e-05
23Na,2904.89,0.0059,0.0003
23Na,3409.39,0.00237,0.00011
23Na,4187.49,0.0073,0.0005
23Na,4278.47,6.8e-05,6e-06
23Na,4890.73,0.00153,9e-05
23Na,4467.5,0.00141,8e-05
23Na,1455.62,0.00018,0.0001
23Na,1631.7,0.00099,0.00017
23Na,3198.84,0.00099,5e-05
23Na,3698.15,0.00095,6e-05
23Na,3703.33,0.00219,0.00011
23Na,4481.42,0.0009,5e-05
23Na,852.48,0.00046,8e-05
23Na,863.38,0.00028,0.00012
23Na,1314.47,0.00034,6e-05
23Na,3173.92,0.00028,3e-05
23Na,3712.726,0.000255,2.1e-05
23Na,4495.997,0.00193,0.00012
23Na,4586.97,0.00072,4e-05
23Na,3271.06,0.00048,4e-05
23Na,3770.37,0.00051,3e-05
23Na,3775.55,6.8e-05,1.6e-05
23Na,4553.64,0.00048,0.00021
23Na,4644.61,0.00026,0.00011
23Na,3231.28,0.0002,9e-05
23Na,4628.71,0.00023,0.0001
23Na,5191.78,4.2e-05,1.9e-05
23Na,810.64,9e-05,6e-05
23Na,1570.21,7e-05,3e-05
23Na,3492.77,0.00045,0.0002
23Na,3997.25,0.00189,0.0001
23Na,4775.33,0.00085,5e-05
23Na,4866.3,8.3e-05,7e-06
23Na,1741.09,0.00059,0.00012
23Na,4055.265,0.002,0.0006
23Na,5396.416,1e-05,5e-06
23Na,2107.13,0.00011,4e-05
23Na,4137.25,0.00077,6e-05
23Na,4915.33,0.0003,4e-05
23Na,5006.3,0.000229,1.6e-05
23Na,1247.495,0.00123,0.0001
23Na,1832.06,0.00095,9e-05
23Na,2220.05,0.00093,0.0001
23Na,3295.92,2.6e-05,1.1e-05
23Na,4462.502,0.00067,7e-05
23Na,5245.746,4.7e-05,7e-06
23Na,5336.717,7.3e-05,8e-06
23Na,2117.76,0.0001,4e-05
23Na,4521.11,7.8e-05,1.3e-05
23Na,858.66,0.0007,0.0004
23Na,2546.33,0.00025,6e-05
23Na,5445.452,0.00077,4e-05
23Na,2009.78,0.00093,0.00012
23Na,2017.54,0.00041,0.00013
23Na,2271.2,0.00035,7e-05
23Na,4106.96,0.000151,2.2e-05
23Na,5494.49,5.7e-05,6e-06
23Na,820.52,0.00017,5e-05
23Na,1876.49,0.00015,5e-05
23Na,3168.51,0.00021,5e-05
23Na,4226.426,0.0018,0.0003
23Na,4725.713,0.00053,0.0001
23Na,4730.891,0.00164,9e-05
23Na,5508.948,1e-05,5e-06
23Na,5599.917,0.000458,2.4e-05
23Na,3244.35,2.6e-05,1.1e-05
23Na,4244.79,7.3e-05,1.1e-05
23Na,4375.94,0.00051,4e-05
23Na,4875.22,3.1e-05,6e-06
23Na,5658.45,3.1e-05,6e-06
23Na,2060.7,0.00038,0.00012
23Na,2270.07,0.00016,4e-05
23Na,2658.06,0.00024,3e-05
23Na,2875.58,0.00016,8e-05
23Na,3343.28,0.00096,6e-05
23Na,4286.33,2.1e-05,5e-06
23Na,4361.687,0.000104,9e-06
23Na,4900.463,0.00078,7e-05
23Na,4905.641,0.00026,4e-05
23Na,5683.692,6.8e-05,1.1e-05
23Na,5774.66,0.00116,7e-05
23Na,6246.741,1.6e-05,5e-06
23Na,711.967,0.0043,0.00022
23Na,737.21,0.0001,0.0003
23Na,886.749,0.00402,0.00016
23Na,1006.23,0.0037,0.00018
23Na,1041.245,0.00153,0.0001
23Na,1096.57,0.0002,8e-05
23Na,1150.002,0.00528,0.00021
23Na,1480.47,0.00171,0.00015
23Na,1562.47,0.00256,0.0002
23Na,1620.49,0.00294,0.00022
23Na,1767.14,0.00028,8e-05
23Na,1842.21,0.0023,0.0002
23Na,1899.86,0.0036,0.0016
23Na,1914.44,0.00606,0.00021
23Na,1928.37,0.0055,0.0005
23Na,2208.4,0.0259,0.0009
23Na,2269.19,0.00026,5e-05
23Na,2337.84,0.00086,6e-05
23Na,2397.433,0.0069,0.0004
23Na,2517.81,0.0699,0.0015
23Na,2752.271,0.0654,0.0012
23Na,2763.17,0.0053,0.0012
23Na,2911.06,0.00031,7e-05
23Na,2981.97,0.0142,0.0006
23Na,3093.79,0.0028,0.0002
23Na,3214.22,0.0054,0.0004
23Na,3277.32,0.00377,0.00017
23Na,3303.44,0.00114,5e-05
23Na,3331.15,0.00119,6e-05
23Na,3369.94,0.0133,0.0004
23Na,3546.0,0.00454,0.00022
23Na,3587.46,0.0596,0.0011
23Na,3981.45,0.0677,0.0011
23Na,4055.14,0.0015,0.0006
23Na,4445.754,0.00229,0.00013
23Na,4981.86,0.000302,2.3e-05
23Na,5073.515,0.00207,0.00012
23Na,5113.007,0.0025,0.00014
23Na,5612.274,0.0026,0.0011
23Na,5614.239,0.005,0.003
23Na,5617.452,0.016,0.005
23Na,6395.478,0.1,0.002
23Na,6486.444,0.00187,0.00011
23Na,6958.509,1.6e-05,5e-06
24Mg,585.0,0.0314,0.0011
24Mg,389.67,0.00586,0.00024
24Mg,974.66,0.00663,0.00024
24Mg,989.99,3.9e-05,8e-06
24Mg,1379.64,8.4e-05,1.1e-05
24Mg,1964.61,8.1e-05,1.8e-05
24Mg,1588.61,0.00025,2.3e-05
24Mg,1978.25,0.00111,5e-05
24Mg,2563.21,5.5e-05,1.6e-05
24Mg,836.83,0.000158,1.5e-05
24Mg,2216.42,0.00019,3e-05
24Mg,2801.37,0.000131,1.6e-05
24Mg,611.81,1.2e-05,1.2e-05
24Mg,849.99,6.6e-05,1.1e-05
24Mg,1448.62,1.2e-05,1.2e-05
24Mg,2438.54,0.00473,0.00019
24Mg,2828.172,0.024,0.0008
24Mg,3413.1,0.00401,0.00016
24Mg,862.96,0.00041,2.1e-05
24Mg,1474.75,1.2e-05,1.2e-05
24Mg,1712.92,0.00118,7e-05
24Mg,3301.41,0.0062,0.00024
24Mg,3691.02,0.00068,4e-05
24Mg,1702.95,3.2e-05,1e-05
24Mg,2552.88,2.4e-05,9e-06
24Mg,4141.31,0.000154,1.6e-05
24Mg,2214.06,0.0003,3e-05
24Mg,2972.2,7.1e-05,1.8e-05
24Mg,3054.0,0.0083,0.0003
24Mg,3916.84,0.032,0.0011
24Mg,4528.55,0.00035,3e-05
24Mg,4766.69,0.000327,2.2e-05
24Mg,6354.98,0.00106,6e-05
24Mg,6744.54,0.000142,2.5e-05
24Mg,7329.38,1.4e-05,3e-06
25Mg,1808.668,0.018,0.0005
25Mg,1129.575,0.00891,0.00025
25Mg,2938.159,0.00094,4e-05
25Mg,1779.76,0.000126,8e-06
25Mg,1003.14,0.00161,6e-05
25Mg,2132.67,0.00089,4e-05
25Mg,2510.02,0.00058,3e-05
25Mg,1394.14,0.00019,1e-05
25Mg,2523.65,0.001,4e-05
25Mg,4332.13,7.5e-05,8e-06
25Mg,408.57,4.8e-06,1.1e-06
25Mg,1411.7,0.0013,5e-05
25Mg,2541.21,0.00148,7e-05
25Mg,502.61,1.9e-05,4e-06
25Mg,1896.72,0.00094,4e-05
25Mg,3026.21,4.4e-05,6e-06
25Mg,4834.65,0.000119,1e-05
25Mg,3092.34,0.000258,1.5e-05
25Mg,2033.85,5.8e-05,6e-06
25Mg,1350.19,1.5e-05,3e-06
25Mg,2353.27,0.000447,2.1e-05
25Mg,3482.74,3e-05,4e-06
25Mg,5291.15,1.7e-05,3e-06
25Mg,1157.19,0.000127,8e-06
25Mg,1534.55,3e-05,4e-06
25Mg,3667.08,1.7e-05,4e-06
25Mg,1358.55,3.4e-06,1.2e-06
25Mg,2752.61,2.3e-05,4e-06
25Mg,3882.06,5.8e-05,8e-06
25Mg,5690.44,4.8e-06,2e-06
25Mg,1365.59,6e-05,8e-06
25Mg,1774.14,7.6e-05,1.5e-05
25Mg,2777.21,5.1e-05,6e-06
25Mg,409.74,4.8e-06,1.1e-06
25Mg,833.71,4.6e-05,8e-06
25Mg,1224.15,1.7e-05,4e-06
25Mg,1290.28,7.1e-05,6e-06
25Mg,1775.31,0.00129,5e-05
25Mg,1792.87,9e-05,8e-06
25Mg,2183.85,0.000185,9e-06
25Mg,3186.91,7.6e-05,9e-06
25Mg,4316.33,6.4e-05,8e-06
25Mg,3695.69,9e-05,9e-06
25Mg,3807.09,3.2e-05,6e-06
25Mg,4936.49,6.4e-05,7e-06
25Mg,2041.18,4.6e-05,6e-06
25Mg,2543.75,5.9e-05,8e-06
25Mg,2557.39,4.3e-05,5e-06
25Mg,2934.73,4.1e-05,9e-06
25Mg,3937.75,0.000254,1.3e-05
25Mg,5067.14,0.00096,4e-05
25Mg,3473.13,8.9e-05,8e-06
25Mg,4123.25,2.5e-05,5e-06
25Mg,5252.64,5.3e-05,6e-06
25Mg,7060.91,9.4e-06,1.9e-06
25Mg,2264.39,3.6e-05,5e-06
25Mg,3157.93,1.6e-05,4e-06
25Mg,4160.94,9.3e-05,7e-06
25Mg,5290.32,2.8e-05,5e-06
25Mg,7098.59,1e-05,3e-05
25Mg,2426.12,0.000519,2e-05
25Mg,2911.12,0.000167,1.4e-05
25Mg,2928.68,0.0002,1.4e-05
25Mg,3319.65,0.001,4e-05
25Mg,4322.65,0.000315,1.8e-05
25Mg,5452.025,0.00206,7e-05
25Mg,1566.97,4.6e-05,4e-06
25Mg,2381.34,4.9e-05,6e-06
25Mg,2932.48,8.8e-05,1.2e-05
25Mg,2963.67,0.000292,2.1e-05
25Mg,3341.0,0.00046,3e-05
25Mg,1872.7,9.7e-06,2e-06
25Mg,2513.6,0.000279,1.9e-05
25Mg,3016.16,8.1e-05,1e-05
25Mg,3029.79,2.1e-05,3e-06
25Mg,4410.13,0.00067,4e-05
25Mg,5539.5,0.000216,1.3e-05
25Mg,3020.6,1e-05,3e-05
25Mg,3429.1,5.2e-05,8e-06
25Mg,5561.5,1.2e-05,3e-06
25Mg,7369.7,0.00027,6e-05
25Mg,3191.42,3.5e-05,9e-06
25Mg,3208.97,0.000398,1.9e-05
25Mg,3599.94,0.000152,1e-05
25Mg,4602.93,0.000363,1.7e-05
25Mg,5732.29,0.000164,1.2e-05
25Mg,7696.1,9.7e-06,2.1e-06
25Mg,3406.41,0.0014,0.0005
25Mg,3783.73,1.9e-05,6e-06
25Mg,6243.4,2.4e-05,6e-06
25Mg,5246.08,5.4e-05,1.4e-05
25Mg,6375.41,0.000192,1.5e-05
25Mg,6417.93,6.5e-05,7e-06
25Mg,8226.12,4.2e-05,6e-06
25Mg,5311.79,0.000176,1.1e-05
25Mg,6441.12,6.7e-06,1.4e-06
25Mg,4139.62,2.7e-05,4e-06
25Mg,6649.21,4.9e-05,4e-06
25Mg,6694.07,2.1e-05,3e-06
25Mg,8502.24,6.3e-05,6e-06
